,T,M,E,E2,X,J,B,M2,M4
0,0,-0.826171875,-722.352000000004,521792.41190400574,32,0.447,0.0,0.6825599670410156,0.46588810860703234
1,10,-0.869140625,-743.8080000000041,553250.3408640061,32,0.447,0.0,0.7554054260253906,0.5706373576686019
2,20,-0.8359375,-706.2600000000037,498803.1876000053,32,0.447,0.0,0.69879150390625,0.4883095659315586
3,30,-0.837890625,-720.564000000004,519212.4780960057,32,0.447,0.0,0.7020606994628906,0.49288922573032323
4,40,-0.734375,-679.4400000000036,461638.71360000485,32,0.447,0.0,0.539306640625,0.2908516526222229
5,50,-0.806640625,-702.6840000000038,493764.80385600537,32,0.447,0.0,0.6506690979003906,0.4233702749625081
6,60,-0.841796875,-747.3840000000041,558582.8434560061,32,0.447,0.0,0.7086219787597656,0.5021451087814057
7,70,-0.8828125,-763.4760000000041,582895.6025760062,32,0.447,0.0,0.77935791015625,0.6073987521231174
8,80,-0.8125,-688.3800000000036,473867.024400005,32,0.447,0.0,0.66015625,0.4358062744140625
9,90,-0.830078125,-736.6560000000039,542662.0623360057,32,0.447,0.0,0.6890296936035156,0.4747619186673546
10,100,-0.744140625,-661.5600000000036,437661.6336000047,32,0.447,0.0,0.5537452697753906,0.30663382379862014
11,110,-0.814453125,-713.4120000000039,508956.6817440056,32,0.447,0.0,0.6633338928222656,0.440011853366741
12,120,-0.7734375,-679.4400000000037,461638.713600005,32,0.447,0.0,0.59820556640625,0.3578498996794224
13,130,-0.73046875,-654.4080000000035,428249.83046400466,32,0.447,0.0,0.5335845947265625,0.28471251972950995
14,140,-0.744140625,-691.9560000000038,478803.1059360052,32,0.447,0.0,0.5537452697753906,0.30663382379862014
15,150,-0.76953125,-683.0160000000037,466510.85625600506,32,0.447,0.0,0.5921783447265625,0.3506751919630915
16,160,-0.673828125,-656.1960000000036,430593.1904160047,32,0.447,0.0,0.4540443420410156,0.2061562645394588
17,170,-0.6796875,-665.1360000000036,442405.8984960048,32,0.447,0.0,0.46197509765625,0.21342099085450172
18,180,-0.6953125,-681.2280000000036,464071.5879840049,32,0.447,0.0,0.48345947265625,0.23373306170105934
19,190,-0.625,-636.5280000000034,405167.89478400437,32,0.447,0.0,0.390625,0.152587890625
20,200,-0.72265625,-724.1400000000039,524378.7396000056,32,0.447,0.0,0.5222320556640625,0.2727263199631125
21,210,-0.7109375,-679.4400000000037,461638.713600005,32,0.447,0.0,0.50543212890625,0.2554616369307041
22,220,-0.72265625,-684.8040000000037,468956.5184160051,32,0.447,0.0,0.5222320556640625,0.2727263199631125
23,230,-0.69140625,-720.564000000004,519212.4780960057,32,0.447,0.0,0.4780426025390625,0.22852472984232008
24,240,-0.6875,-666.9240000000036,444787.62177600485,32,0.447,0.0,0.47265625,0.2234039306640625
