,J,M,X,E,M2,M4,dM,dE,dE2,dM2,dM4,time_correlation_mag,dX
13,0.25,0.00062412109375,712.0480518399854,-571.1896,0.0010338160991668446,3.1899027900521284e-06,0.00046142831559856437,0.3780582991541861,432.1982426833624,2.070388297305295e-05,1.5083194312382604e-07,0.4218634923692196,0.0
30,0.26,0.00026533203125,785.9421046863426,-623.0746079999872,0.001186114358901952,4.180664928537557e-06,0.0004999742935826721,0.3947704254302634,492.4345168286326,2.3559844855536167e-05,1.7681361848637505e-07,0.4315564880770752,3.51817619186493e-13
17,0.27,0.00076650390625,861.6377285937197,-678.9886559999889,0.0013023864269256326,5.2444820635511925e-06,0.0005221812348998166,0.41214535459500806,560.7534828506416,2.6776193642740212e-05,2.4678410367458323e-07,0.4288858389617028,3.740415974620263e-13
44,0.28,0.000882421875,951.00571204687,-737.7303359999702,0.0013779944419860574,5.585473292125892e-06,0.0005462302545542503,0.43520097263473567,643.2013464677868,2.7290397482148857e-05,2.6061186472385783e-07,0.4436010841045824,2.2556539961908667e-13
24,0.29,0.0010755859375,1070.1455519917654,-799.3590160000026,0.0016213301658630104,7.86977110640179e-06,0.0005967906271754175,0.46711227240103326,747.7131824969102,3.268123716805106e-05,3.7514652448765e-07,0.4501171978409006,3.080389956294425e-14
23,0.3,0.000353515625,1188.3278471616795,-865.8712799999995,0.001756574535369846,9.378472333059276e-06,0.0006242302414516334,0.4902360632594117,850.4282136540369,3.590828833263231e-05,4.575111489975499e-07,0.45425217023943804,8.314722007138005e-13
41,0.31,0.00086455078125,1311.9960566895315,-936.3574799999794,0.0020791319370269496,1.3095545324868896e-05,0.000690522761536475,0.514195919136732,962.6063207309695,4.2806489838348394e-05,6.245756715623262e-07,0.46975692335051017,2.0353548792478945e-12
8,0.32,0.0009654296875,1399.169780547847,-1010.5303040000103,0.0022560868263244356,1.536199549898212e-05,0.0007277994250160244,0.5325220436206832,1076.6242714207135,4.6988552412581564e-05,7.235594725984743e-07,0.48093916832284034,2.577327630324381e-12
45,0.33,0.00232353515625,1569.0778684413526,-1088.4667200000079,0.002668786573410006,2.1074369248558587e-05,0.0008010927411716317,0.5622528042874235,1226.407570427716,5.533384538780728e-05,9.860761886777301e-07,0.4933717500516218,2.8821565301037806e-12
20,0.34,0.0001744140625,1789.0878619009163,-1172.3937119999855,0.0030539086341857626,2.8297655615707923e-05,0.0008692630164447315,0.6038269828956822,1415.7728474446767,6.567638950183645e-05,1.769235453080965e-06,0.5066333518008735,3.153142789394815e-12
