,J,M,X,E,M2,M4,dM,dE,dE2,dM2,dM4,time_correlation_mag,dX,h
7,0.435,-498.4348,8454.508787631057,-2411.4712199998207,3467052.0888,18993345977939.105,30.616375708824524,1.4793860147054478,7162.060400999488,44921.43433129831,371029784898.4354,0.5963230997233641,1.1918441106349514e-11,0.0
17,0.436,-1594.0384,8765.245586522855,-2447.0908095999916,4362243.8256,26329112916157.113,23.020056126275648,1.5002397835361947,7355.23204046747,45928.146433932525,422883219462.6105,0.5957689069268323,1.1623025575750668e-11,0.0
4,0.437,-295.9332,8749.006495026872,-2470.234095199912,4749958.6632,29841895375594.434,36.85719562454745,1.5031512542265117,7439.817790432928,45859.45657294106,447414292280.8427,0.5965952451208014,1.246187037690285e-11,0.0
0,0.438,657.5436,8739.681145154871,-2494.7845776000927,5060029.3608,33479698457712.37,36.71992975236674,1.4983193609245835,7476.15657452788,47708.814681325384,460254180909.85675,0.5966021070696507,1.2042329179383043e-11,0.0
14,0.439,-1340.9692,9103.104825305752,-2531.797639200018,6046450.0968,43802917480203.33,35.181795161082825,1.5317798167150252,7746.148282062066,45702.623878910104,488523457615.0957,0.5965802009319057,1.2868629767134679e-11,0.0
12,0.44,-2604.038,7924.65815979708,-2573.2565760001958,7033877.7064,54477285968488.72,8.533346930809323,1.417413700053173,7276.200014692289,37865.89778708805,466636698214.54517,0.5896512562690375,1.263296196040246e-11,0.0
11,0.441,2391.996,9463.402842212468,-2568.8003040000526,6322552.2064,47819535544440.39,13.199540236606659,1.5673173276509043,8030.131162557476,47578.88337904649,530337369871.84467,0.5936810443449938,1.311287412867802e-11,0.0
19,0.442,2543.2816,9025.733361879364,-2610.743012800037,7146641.5808,58471862129821.68,14.031163212224618,1.5278115215153667,7927.738011116766,46178.39229223435,526645389798.1155,0.5942511410419463,1.2850241598560919e-11,0.0
18,0.443,2785.2836,7427.250133882277,-2642.0232935999625,7904097.7656,66278066622102.35,6.463952818993874,1.3663946364809267,7199.598871562628,32903.790691459966,471426456298.9375,0.5848113541698438,1.2714069825830748e-11,0.0
9,0.444,-2796.7132,7840.579904812388,-2659.1611103998603,7991105.116,68066583787674.32,6.973041967740972,1.411449574989263,7491.471761618164,34674.12093692137,495454758669.99963,0.5873769954958661,1.2561428678301547e-11,0.0
3,0.445,-201.3332,8428.670780137181,-2671.8515560000264,7761699.4728,68236244168461.01,47.44165917552881,1.464584550519358,7780.868987545344,48023.8443635452,561395747256.4073,0.5968703735223237,1.314775338149741e-11,0.0
6,0.446,2984.9848,6561.947017304599,-2712.8335343999306,8975584.4304,82691213628229.42,4.2767369643834074,1.267632276197046,6856.305058859609,24361.437936680853,412507160324.93414,0.5722125237305387,1.2900198585607765e-11,0.0
1,0.447,2979.9848,6602.4263132615015,-2727.4126967998527,8961155.728,82845608294402.22,4.769166616795859,1.2646671019393296,6886.1698691481,26695.940004835957,440965944426.25104,0.5760601329720874,1.3486044227859565e-11,0.0
8,0.448,-2992.0348,6775.76695252955,-2747.867494400064,9051847.844,84965714915142.61,5.318508140764065,1.2936737916440197,7084.471267532012,29276.674531800825,478395280700.3206,0.5816608200010926,1.3594770976970871e-11,0.0
2,0.449,-3028.3008,6583.805981921032,-2765.7767808000503,9246877.6144,88012683051744.39,4.634306218589479,1.2702493901045349,7013.7579938415265,26529.535875269125,455311790280.5854,0.5765647573694668,1.3368851078643545e-11,0.0
16,0.45,3015.6924,7114.068561946042,-2779.5211200001263,9215498.2552,88328992252865.89,5.879867439423821,1.329137974078034,7364.3895966451455,31085.827371313433,499407900840.6687,0.5845781859979936,1.3541811471765477e-11,0.0
10,0.451,3108.0636,6306.111114495434,-2808.776405600107,9722060.8872,96658725154267.53,4.172844690158176,1.245869454231091,6971.7165943663185,24470.871468510308,438891567783.22705,0.5750492097831067,1.4089975144881016e-11,0.0
5,0.452,3139.5256,6131.29423860088,-2829.3746368000293,9911126.8096,100176705926845.39,3.902087620577351,1.2185718079195267,6878.174670421293,23272.828506806363,429059135273.15295,0.5719976820940851,1.4420980793582479e-11,0.0
20,0.453,3193.6152,5689.924207017757,-2852.1728015998697,10234273.6912,106093270109268.64,3.095254000758462,1.1609070993368409,6616.626990024063,19189.8483956461,376083462604.5843,0.5589621966454807,1.3821258953556866e-11,0.0
15,0.454,-3203.986,5878.871772933751,-2869.4681375998466,10304111.7864,107655648500709.98,3.2588076725032487,1.1878835239844219,6806.607886426459,20151.67447128619,394521336087.12036,0.5635551629752289,1.454660082257714e-11,0.0
13,0.455,-3248.8812,5567.286230825819,-2893.1491679999253,10585387.644,113260837258519.98,2.8616763637149,1.144915386632618,6613.959898685436,18100.672727720346,367615679335.75696,0.5559977722563958,1.4598168354181948e-11,0.0
