,T,M,E,E2,X,J,B,M2,M4
0,0,-2888.0,-2618.1120000000556,6854510.444544291,64,0.448,0.0,8340544.0,69564674215936.0
1,10,-3108.0,-2777.600000000072,7715061.760000401,64,0.448,0.0,9659664.0,93309108592896.0
2,20,-3302.0,-2815.23200000008,7925531.21382445,64,0.448,0.0,10903204.0,118879857465616.0
3,30,-3134.0,-2775.808000000075,7705110.0528644165,64,0.448,0.0,9821956.0,96470819665936.0
4,40,-3006.0,-2684.4160000000684,7206089.261056367,64,0.448,0.0,9036036.0,81649946593296.0
5,50,-3142.0,-2747.1360000000695,7546756.202496382,64,0.448,0.0,9872164.0,97459622042896.0
6,60,-3218.0,-2782.976000000073,7744955.416576406,64,0.448,0.0,10355524.0,107236877314576.0
7,70,-3238.0,-2831.3600000000674,8016599.449600382,64,0.448,0.0,10484644.0,109927759806736.0
8,80,-3240.0,-2809.856000000068,7895290.740736382,64,0.448,0.0,10497600.0,110199605760000.0
9,90,-3356.0,-2892.288000000092,8365329.874944531,64,0.448,0.0,11262736.0,126849222205696.0
10,100,-3260.0,-2777.6000000000763,7715061.7600004235,64,0.448,0.0,10627600.0,112945881760000.0
11,110,-3226.0,-2795.520000000061,7814932.0704003405,64,0.448,0.0,10407076.0,108307230869776.0
12,120,-3060.0,-2661.1200000000495,7081559.654400263,64,0.448,0.0,9363600.0,87677004960000.0
13,130,-3046.0,-2707.7120000000627,7331704.27494434,64,0.448,0.0,9278116.0,86083436509456.0
14,140,-3060.0,-2673.664000000051,7148479.184896274,64,0.448,0.0,9363600.0,87677004960000.0
15,150,-3216.0,-2804.480000000091,7865108.07040051,64,0.448,0.0,10342656.0,106970533134336.0
16,160,-3106.0,-2790.144000000069,7784903.540736385,64,0.448,0.0,9647236.0,93069162439696.0
17,170,-3300.0,-2888.7040000000916,8344610.799616529,64,0.448,0.0,10890000.0,118592100000000.0
18,180,-3240.0,-2786.560000000082,7764916.633600456,64,0.448,0.0,10497600.0,110199605760000.0
19,190,-3214.0,-2743.5520000000633,7527077.5767043475,64,0.448,0.0,10329796.0,106704685401616.0
20,200,-3340.0,-2840.320000000083,8067417.702400471,64,0.448,0.0,11155600.0,124447411360000.0
21,210,-3168.0,-2799.1040000000744,7834983.2028164165,64,0.448,0.0,10036224.0,100725792178176.0
22,220,-3194.0,-2795.520000000073,7814932.070400409,64,0.448,0.0,10201636.0,104073377076496.0
23,230,-3232.0,-2777.6000000000736,7715061.760000409,64,0.448,0.0,10445824.0,109115239038976.0
24,240,-3034.0,-2677.2480000000646,7167656.853504346,64,0.448,0.0,9205156.0,84734896984336.0
25,250,-3250.0,-2820.6080000001,7955829.489664566,64,0.448,0.0,10562500.0,111566406250000.0
26,260,-3198.0,-2752.5120000000657,7576322.310144361,64,0.448,0.0,10227204.0,104595701657616.0
27,270,-3110.0,-2784.7680000000787,7754932.8138244385,64,0.448,0.0,9672100.0,93549518410000.0
28,280,-3130.0,-2754.304000000068,7586190.524416374,64,0.448,0.0,9796900.0,95979249610000.0
29,290,-3040.0,-2718.464000000072,7390046.51929639,64,0.448,0.0,9241600.0,85407170560000.0
30,300,-2950.0,-2686.2080000000688,7215713.41926437,64,0.448,0.0,8702500.0,75733506250000.0
31,310,-2912.0,-2774.01600000008,7695164.7682564445,64,0.448,0.0,8479744.0,71906058305536.0
32,320,-2902.0,-2723.840000000067,7419304.345600365,64,0.448,0.0,8421604.0,70923413932816.0
33,330,-2858.0,-2653.952000000049,7043461.21830426,64,0.448,0.0,8168164.0,66718903130896.0
34,340,-3010.0,-2720.256000000053,7399792.705536289,64,0.448,0.0,9060100.0,82085412010000.0
35,350,-3008.0,-2682.6240000000494,7196471.525376265,64,0.448,0.0,9048064.0,81867462148096.0
36,360,-2840.0,-2670.080000000041,7129327.206400218,64,0.448,0.0,8065600.0,65053903360000.0
