,T,M,E,E2,X,J,B,M2,M4
0,0,-0.9609375,-1.921875,3.693603515625,16,0.0,-2.0,0.92340087890625,0.852669183164835
1,10,-0.9609375,-1.921875,3.693603515625,16,0.0,-2.0,0.92340087890625,0.852669183164835
2,20,-0.96875,-1.9375,3.75390625,16,0.0,-2.0,0.9384765625,0.8807382583618164
3,30,-0.9765625,-1.953125,3.814697265625,16,0.0,-2.0,0.95367431640625,0.9094947017729282
4,40,-0.9609375,-1.921875,3.693603515625,16,0.0,-2.0,0.92340087890625,0.852669183164835
5,50,-0.9296875,-1.859375,3.457275390625,16,0.0,-2.0,0.86431884765625,0.7470470704138279
6,60,-0.96875,-1.9375,3.75390625,16,0.0,-2.0,0.9384765625,0.8807382583618164
7,70,-0.9453125,-1.890625,3.574462890625,16,0.0,-2.0,0.89361572265625,0.7985490597784519
8,80,-0.9765625,-1.953125,3.814697265625,16,0.0,-2.0,0.95367431640625,0.9094947017729282
9,90,-0.9453125,-1.890625,3.574462890625,16,0.0,-2.0,0.89361572265625,0.7985490597784519
10,100,-0.9765625,-1.953125,3.814697265625,16,0.0,-2.0,0.95367431640625,0.9094947017729282
11,110,-0.9609375,-1.921875,3.693603515625,16,0.0,-2.0,0.92340087890625,0.852669183164835
12,120,-0.9765625,-1.953125,3.814697265625,16,0.0,-2.0,0.95367431640625,0.9094947017729282
13,130,-0.9609375,-1.921875,3.693603515625,16,0.0,-2.0,0.92340087890625,0.852669183164835
14,140,-0.953125,-1.90625,3.6337890625,16,0.0,-2.0,0.908447265625,0.8252764344215393
15,150,-0.953125,-1.90625,3.6337890625,16,0.0,-2.0,0.908447265625,0.8252764344215393
16,160,-0.9921875,-1.984375,3.937744140625,16,0.0,-2.0,0.98443603515625,0.9691143073141575
17,170,-0.96875,-1.9375,3.75390625,16,0.0,-2.0,0.9384765625,0.8807382583618164
18,180,-0.9765625,-1.953125,3.814697265625,16,0.0,-2.0,0.95367431640625,0.9094947017729282
19,190,-0.984375,-1.96875,3.8759765625,16,0.0,-2.0,0.968994140625,0.9389496445655823
20,200,-0.984375,-1.96875,3.8759765625,16,0.0,-2.0,0.968994140625,0.9389496445655823
21,210,-0.96875,-1.9375,3.75390625,16,0.0,-2.0,0.9384765625,0.8807382583618164
22,220,-0.9765625,-1.953125,3.814697265625,16,0.0,-2.0,0.95367431640625,0.9094947017729282
23,230,-0.9609375,-1.921875,3.693603515625,16,0.0,-2.0,0.92340087890625,0.852669183164835
24,240,-0.9296875,-1.859375,3.457275390625,16,0.0,-2.0,0.86431884765625,0.7470470704138279
25,250,-0.96875,-1.9375,3.75390625,16,0.0,-2.0,0.9384765625,0.8807382583618164
26,260,-0.9609375,-1.921875,3.693603515625,16,0.0,-2.0,0.92340087890625,0.852669183164835
27,270,-0.9765625,-1.953125,3.814697265625,16,0.0,-2.0,0.95367431640625,0.9094947017729282
28,280,-0.96875,-1.9375,3.75390625,16,0.0,-2.0,0.9384765625,0.8807382583618164
29,290,-0.9453125,-1.890625,3.574462890625,16,0.0,-2.0,0.89361572265625,0.7985490597784519
30,300,-0.9609375,-1.921875,3.693603515625,16,0.0,-2.0,0.92340087890625,0.852669183164835
31,310,-0.96875,-1.9375,3.75390625,16,0.0,-2.0,0.9384765625,0.8807382583618164
32,320,-0.9296875,-1.859375,3.457275390625,16,0.0,-2.0,0.86431884765625,0.7470470704138279
