,T,M,E,E2,X,J,B,M2,M4
0,0,0.00439453125,0.0,0.0,64,0.0,-0.0,1.9311904907226562e-05,3.729496711457614e-10
1,10,-0.03466796875,0.0,0.0,64,0.0,-0.0,0.0012018680572509766,1.4444868270402367e-06
2,20,-0.00341796875,0.0,0.0,64,0.0,-0.0,1.1682510375976562e-05,1.3648104868480004e-10
3,30,-0.00830078125,0.0,0.0,64,0.0,-0.0,6.890296936035156e-05,4.747619186673546e-09
4,40,-0.00048828125,0.0,0.0,64,0.0,-0.0,2.384185791015625e-07,5.684341886080802e-14
5,50,0.00830078125,0.0,0.0,64,0.0,-0.0,6.890296936035156e-05,4.747619186673546e-09
6,60,-0.01806640625,0.0,0.0,64,0.0,-0.0,0.00032639503479003906,1.0653371873559081e-07
7,70,0.01025390625,0.0,0.0,64,0.0,-0.0,0.00010514259338378906,1.1054964943468804e-08
8,80,0.01025390625,0.0,0.0,64,0.0,-0.0,0.00010514259338378906,1.1054964943468804e-08
9,90,-0.01318359375,0.0,0.0,64,0.0,-0.0,0.00017380714416503906,3.020892336280667e-08
10,100,0.00048828125,0.0,0.0,64,0.0,-0.0,2.384185791015625e-07,5.684341886080802e-14
11,110,0.00830078125,0.0,0.0,64,0.0,-0.0,6.890296936035156e-05,4.747619186673546e-09
12,120,-0.02001953125,0.0,0.0,64,0.0,-0.0,0.00040078163146972656,1.6062591612353572e-07
13,130,0.01708984375,0.0,0.0,64,0.0,-0.0,0.00029206275939941406,8.530065542800003e-08
14,140,-0.01513671875,0.0,0.0,64,0.0,-0.0,0.00022912025451660156,5.249609102975228e-08
15,150,0.01806640625,0.0,0.0,64,0.0,-0.0,0.00032639503479003906,1.0653371873559081e-07
16,160,-0.01025390625,0.0,0.0,64,0.0,-0.0,0.00010514259338378906,1.1054964943468804e-08
17,170,-0.00439453125,0.0,0.0,64,0.0,-0.0,1.9311904907226562e-05,3.729496711457614e-10
18,180,0.00537109375,0.0,0.0,64,0.0,-0.0,2.8848648071289062e-05,8.322444955410901e-10
19,190,-0.00146484375,0.0,0.0,64,0.0,-0.0,2.1457672119140625e-06,4.604316927725449e-12
20,200,-0.00341796875,0.0,0.0,64,0.0,-0.0,1.1682510375976562e-05,1.3648104868480004e-10
21,210,-0.00732421875,0.0,0.0,64,0.0,-0.0,5.364418029785156e-05,2.8776980798284058e-09
22,220,0.02197265625,0.0,0.0,64,0.0,-0.0,0.00048279762268066406,2.3309354446610087e-07
23,230,-0.00341796875,0.0,0.0,64,0.0,-0.0,1.1682510375976562e-05,1.3648104868480004e-10
24,240,0.02880859375,0.0,0.0,64,0.0,-0.0,0.0008299350738525391,6.887922268106195e-07
25,250,0.00048828125,0.0,0.0,64,0.0,-0.0,2.384185791015625e-07,5.684341886080802e-14
26,260,0.02197265625,0.0,0.0,64,0.0,-0.0,0.00048279762268066406,2.3309354446610087e-07
27,270,0.00244140625,0.0,0.0,64,0.0,-0.0,5.9604644775390625e-06,3.552713678800501e-11
28,280,-0.01220703125,0.0,0.0,64,0.0,-0.0,0.00014901161193847656,2.220446049250313e-08
29,290,0.00244140625,0.0,0.0,64,0.0,-0.0,5.9604644775390625e-06,3.552713678800501e-11
30,300,0.02880859375,0.0,0.0,64,0.0,-0.0,0.0008299350738525391,6.887922268106195e-07
31,310,0.02685546875,0.0,0.0,64,0.0,-0.0,0.0007212162017822266,5.201528097131813e-07
32,320,-0.00341796875,0.0,0.0,64,0.0,-0.0,1.1682510375976562e-05,1.3648104868480004e-10
33,330,-0.03173828125,0.0,0.0,64,0.0,-0.0,0.0010073184967041016,1.014690553802211e-06
