,T,M,E,E2,X,J,B,M2,M4
0,0,3946.0,-7892.0,62283664.0,64,0.0,2.0,15570916.0,242453425079056.0
1,10,3940.0,-7880.0,62094400.0,64,0.0,2.0,15523600.0,240982156960000.0
2,20,3960.0,-7920.0,62726400.0,64,0.0,2.0,15681600.0,245912578560000.0
3,30,3978.0,-7956.0,63297936.0,64,0.0,2.0,15824484.0,250414293866256.0
4,40,3950.0,-7900.0,62410000.0,64,0.0,2.0,15602500.0,243438006250000.0
5,50,3946.0,-7892.0,62283664.0,64,0.0,2.0,15570916.0,242453425079056.0
6,60,3934.0,-7868.0,61905424.0,64,0.0,2.0,15476356.0,239517595038736.0
7,70,3968.0,-7936.0,62980096.0,64,0.0,2.0,15745024.0,247905780760576.0
8,80,3958.0,-7916.0,62663056.0,64,0.0,2.0,15665764.0,245416161703696.0
9,90,3974.0,-7948.0,63170704.0,64,0.0,2.0,15792676.0,249408615240976.0
10,100,3934.0,-7868.0,61905424.0,64,0.0,2.0,15476356.0,239517595038736.0
11,110,3952.0,-7904.0,62473216.0,64,0.0,2.0,15618304.0,243931419836416.0
12,120,3968.0,-7936.0,62980096.0,64,0.0,2.0,15745024.0,247905780760576.0
13,130,3936.0,-7872.0,61968384.0,64,0.0,2.0,15492096.0,240005038473216.0
14,140,3950.0,-7900.0,62410000.0,64,0.0,2.0,15602500.0,243438006250000.0
15,150,3942.0,-7884.0,62157456.0,64,0.0,2.0,15539364.0,241471833524496.0
16,160,3944.0,-7888.0,62220544.0,64,0.0,2.0,15555136.0,241962255978496.0
17,170,3960.0,-7920.0,62726400.0,64,0.0,2.0,15681600.0,245912578560000.0
18,180,3956.0,-7912.0,62599744.0,64,0.0,2.0,15649936.0,244920496804096.0
19,190,3964.0,-7928.0,62853184.0,64,0.0,2.0,15713296.0,246907671183616.0
20,200,3942.0,-7884.0,62157456.0,64,0.0,2.0,15539364.0,241471833524496.0
21,210,3952.0,-7904.0,62473216.0,64,0.0,2.0,15618304.0,243931419836416.0
22,220,3940.0,-7880.0,62094400.0,64,0.0,2.0,15523600.0,240982156960000.0
23,230,3922.0,-7844.0,61528336.0,64,0.0,2.0,15382084.0,236608508183056.0
24,240,3988.0,-7976.0,63616576.0,64,0.0,2.0,15904144.0,252941796372736.0
25,250,3964.0,-7928.0,62853184.0,64,0.0,2.0,15713296.0,246907671183616.0
26,260,3934.0,-7868.0,61905424.0,64,0.0,2.0,15476356.0,239517595038736.0
27,270,3952.0,-7904.0,62473216.0,64,0.0,2.0,15618304.0,243931419836416.0
28,280,3944.0,-7888.0,62220544.0,64,0.0,2.0,15555136.0,241962255978496.0
29,290,3952.0,-7904.0,62473216.0,64,0.0,2.0,15618304.0,243931419836416.0
30,300,3962.0,-7924.0,62789776.0,64,0.0,2.0,15697444.0,246409748133136.0
31,310,3938.0,-7876.0,62031376.0,64,0.0,2.0,15507844.0,240493225528336.0
