,J,M,X,E,M2,M4,dM,dE,dE2,dM2,dM4,time_correlation_mag,dX,h
48,0.25,-0.9272,181.23866735999763,-142.7708,4552.9712,60529962.0032,0.9672607273508467,0.19043633275685093,54.47564982795221,88.98355276711129,2683402.985492086,0.10521007061041707,0.0,0.0
25,0.26,-0.6984,193.14290947993504,-155.22499200000019,4771.2608,69180870.0416,1.000948552978425,0.19660952923753422,61.227820082454244,97.06739913233777,3133966.6344554443,0.10750232311255326,3.6534465229166814e-14,0.0
32,0.27,-1.4328,220.1796670464064,-169.59456000000037,5319.216,84179049.0624,1.0548463333413016,0.21059801850888527,71.65291768978261,105.80965700130997,3603648.893674122,0.10712269933220511,6.019415644307571e-14,0.0
37,0.28,-1.0968,240.61513922969607,-183.9380480000006,5822.1216,99790566.8736,1.1107715434502836,0.21732526602935123,80.21717867046615,115.28642296509378,4544367.045535919,0.10850282740715522,7.299279110452562e-14,0.0
22,0.29,-1.596,278.3211912704064,-199.9793600000005,6701.0512,134289090.016,1.2109290310689351,0.23545838028230448,94.38610691139169,134.03395085558248,5854635.316056294,0.11205794550625278,1.0179057943583211e-13,0.0
21,0.3,1.0872,293.6765408256033,-215.70912,7190.4576,152402158.3872,1.2706728883550118,0.2425466760107658,105.24022983168368,142.40850169764923,6437064.991461581,0.11496495892996104,1.0792673824531745e-13,0.0
17,0.31,2.9708,332.9439551615433,-234.09240800000123,8376.2008,199409708.8864,1.3826409700742477,0.2561360655141739,120.2770204072716,163.40017685045245,8889722.730788207,0.1169533579861639,1.230132373537779e-13,0.0
46,0.32,2.2576,358.7108755210065,-252.594175999997,9895.4448,308980487.6736,1.5345366071858453,0.26858175522072014,136.63281613780674,215.56452144616122,17014111.67442624,0.12187819818352119,1.198737176921752e-13,0.0
26,0.33,-4.4828,382.70696507999673,-271.8342000000008,11277.772,372953875.3504,1.6485741715768731,0.2793192220903862,152.4364446318129,231.31023543240116,16849691.84330747,0.12358088796379411,1.2719886263945733e-13,0.0
40,0.34,2.068,440.62772776038037,-293.4287040000014,13473.1776,538141855.4496,1.8432612053848616,0.29823381713419256,175.90162401650485,283.47908128317204,25153242.570232622,0.1291292708838852,1.4718188455844458e-13,0.0
39,0.35,-4.6124,490.2341738224204,-315.13075999999836,15783.036,733022291.4912,1.9944685791768695,0.31727465095201646,201.13672997858163,330.92551626863315,32876207.87057257,0.12919114045487948,1.6650396476205613e-13,0.0
20,0.36,2.4588,564.7124296950205,-339.5560320000042,19558.8584,1147677998.5184,2.266785369304168,0.340339620742642,232.18445510765054,432.6638704014989,56289310.12163958,0.13452241488908662,2.0920903779248218e-13,0.0
31,0.37,-10.474,616.7861390305043,-365.11274400000275,24808.6664,1803623640.1568,2.576944552658375,0.3605972745059848,264.5536811940067,548.5701523502244,86363005.8381019,0.137630454615342,3.002285468031684e-13,0.0
16,0.38,0.9204,677.1295493365033,-390.69836799999706,30066.4584,2540748758.1984,2.8661135330658762,0.3814673615604777,299.1040387610915,648.9845380272491,113898146.5622817,0.13986203243928214,2.782223358831849e-13,0.0
18,0.39,-11.426,784.6462764465541,-421.4343119999935,43636.7688,5127569128.5792,3.4840979644542447,0.41800386310741955,355.5135222809278,926.4579173517179,237051890.25493392,0.14282772019759934,3.877183627828387e-13,0.0
11,0.4,-20.9112,881.8358616064361,-452.03456000000136,58505.368,8637629273.3632,4.05122676230397,0.4447044563419295,404.02948984756046,1189.622398846853,335552580.7556286,0.14468338474328746,4.0340163850041655e-13,0.0
13,0.41,-45.7044,1188.9318531430035,-490.7309679999999,107641.7448,25483884699.4848,5.505727003672492,0.5273739962955137,524.0835068074845,1970.2071364210356,824542959.4332277,0.14700850652578282,3.4682254832222855e-13,0.0
45,0.42,24.4708,1439.5431730176206,-533.1916799999962,178784.4776,58166591421.6224,7.181006955551356,0.591495531869606,638.4310132408392,2720.8403424334,1393220864.353707,0.14814296894246293,2.9614032353942944e-13,0.0
9,0.43,-66.2312,1820.3075404657284,-583.4738800000058,296583.0592,129516165252.4288,9.21349114077853,0.6784041874105439,796.9429319102727,3435.5640760901333,2236288369.2600064,0.1487156069161505,3.0465793317561533e-13,0.0
4,0.44,299.2272,1963.6231566448696,-641.5189439999992,458745.784,252328559433.4528,10.36407584510848,0.7055973669943729,901.9760425974541,3437.798919594824,2824174577.856456,0.14892655249047054,3.3642273631011175e-13,0.0
29,0.45,331.1004,1629.393091646256,-697.5824399999921,609065.428,398399666475.664,12.06105842324049,0.6327102543261304,872.50494518545,2761.9867096340045,2727699215.5570364,0.149098197691569,3.2454085055647403e-13,0.0
2,0.46,-832.0436,1281.3590560550801,-745.0844479999939,700058.7,505318206213.168,1.4610895580797452,0.5480598799331173,808.4735777875856,2025.6472375328408,2384750273.77508,0.14078450724566818,1.8841198650493872e-13,0.0
28,0.47,-875.8956,1046.25906410499,-787.4481520000161,769418.2328,598406408967.152,0.734488527026145,0.47725416323043246,748.0644487382948,1241.7685848502995,1812470782.6460733,0.1241073779474173,6.573060139670986e-14,0.0
7,0.48,-897.6424,975.8740967424819,-823.9737600000079,807482.9216,657241865984.9984,0.646837721039984,0.46333270924695347,758.5928576838768,1122.3124582703595,1718022606.8499212,0.12444629388424519,9.742593539874811e-14,0.0
5,0.49,-918.604,802.6787903535878,-860.3686560000103,844850.8992,717085474410.7008,0.48467679814315134,0.4150031329685594,710.9117829926445,872.7991904516058,1426848880.2628593,0.1181719928333614,5.430511158519256e-13,0.0
35,0.5,933.0736,719.1830240000272,-893.924,871413.6624,762006133136.544,0.4223749762602138,0.3872144706369193,689.5546536836426,771.9802545031421,1299713607.7358398,0.11599212654475158,0.0,0.0
15,0.51,946.1028,672.1648123105988,-926.3929679999892,895677.1416,804221472207.3696,0.3514105996113456,0.3732009458508707,689.0978065485492,657.036741252771,1152778699.3838315,0.1115605412079687,2.075705385519762e-12,0.0
1,0.52,955.2948,601.6280347349821,-956.2263359999884,913022.58,835165912406.6592,0.3080038859061933,0.3552374624414726,677.1436176168577,582.5288076012725,1044931920.4891493,0.1117842409651289,2.2397082219642873e-12,0.0
10,0.53,963.6972,550.2481522645103,-985.869535999976,929067.9032,864461673340.8992,0.27681708633949925,0.3376422581437898,662.9790931473733,527.7009867442018,961768840.3432904,0.11030495500407403,2.4266951361384984e-12,0.0
36,0.54,-970.9192,512.4110205173492,-1014.7144320000145,942961.512,890210992159.3152,0.2399430775007109,0.322798071159079,653.5446990084781,463.23324497278475,864551214.8275871,0.1062339254420649,2.5006337120784086e-12,0.0
47,0.55,977.2708,471.83954336633906,-1043.1634400000114,955293.844,913474514132.9824,0.21854074879773414,0.3047052726023071,633.7592293678899,424.10606092634396,799878007.0143495,0.10375810508447775,2.8698019247213513e-12,0.0
30,0.56,982.07,426.52024323726073,-1069.8450559999976,964648.5448,931260701705.2192,0.19629869609239664,0.29337466428207637,625.8974201678591,383.3213744146452,731777523.9207101,0.10544772761774321,2.6595131682946434e-12,0.0
43,0.57,-986.5064,397.94118300057016,-1096.1656319999968,973355.5472,948040669010.9888,0.18075091974250662,0.2848537654033616,622.6794489126611,354.9639694328206,685095639.7064519,0.10409010392492743,3.054621158716266e-12,0.0
12,0.58,990.8036,379.4933364724275,-1122.8623679999985,981830.46,964530932151.5616,0.16774867722005887,0.2774901124483088,621.7014764064216,330.9572281312435,644689566.117952,0.10386469939757109,3.031276473665162e-12,0.0
27,0.59,-993.9644,341.01837746822275,-1147.8039359999877,988079.2824,976748116651.4016,0.15213082640518283,0.26209298130086833,600.1341894092717,301.32764033436,591463143.5442023,0.10387410090402585,3.1367262858725456e-12,0.0
0,0.6,997.074,322.6124793603085,-1173.0408000000211,994256.972,988943393929.328,0.14113905519544678,0.2518055575819283,589.3130714202878,280.41963654759627,553799596.6154145,0.10155428940596044,3.222720359567933e-12,0.0
8,0.61,999.852,305.2789807149675,-1197.98924800002,999792.1856,999934666243.3665,0.13348268633977833,0.248116817155477,592.756536987429,266.04889907248196,528685226.76775706,0.10345302199910325,3.369776325708262e-12,0.0
34,0.62,-1002.0128,279.22031479584984,-1221.978832000007,1004105.4992,1008530716680.7616,0.12315163757629305,0.23621103156167103,575.9986957635376,246.0749529884422,491434652.75455886,0.10235764380635703,2.8773124811321583e-12,0.0
42,0.63,-1004.1368,248.99421519204043,-1245.9731759999931,1008354.3392,1017033563879.0912,0.11308723429229506,0.2231110306668668,554.4250950426383,226.4339758542795,454067661.9208207,0.10289044669763842,3.347251663794669e-12,0.0
6,0.64,-1005.9624,243.43230572156608,-1269.5587839999791,1012017.8768,1024411862897.7344,0.10680039248303405,0.21973290604628432,556.5114552864525,214.3225471262573,431674553.95420426,0.10149863180406868,3.5134031292469474e-12,0.0
14,0.65,1007.6644,222.51544373715296,-1293.1443199999765,1015437.4904,1031315174868.8096,0.10047898954741821,0.21197392134860274,546.8988416679133,201.982261051989,408203806.45338446,0.10347155199475307,3.338602315950557e-12,0.0
19,0.66,-1009.2708,213.47429713001475,-1316.5775040000033,1018673.0776,1037879478145.4176,0.094806760847914,0.20475278684584577,537.8668442177484,190.9123686166089,387165238.2011905,0.1010567497050501,3.2951236721903537e-12,0.0
49,0.67,-1010.6996,195.00336635601707,-1339.7850639999888,1021552.5432,1043727718348.5408,0.0887638049030037,0.1985096425569674,530.6227033788712,179.04253686922902,364293585.64506495,0.10378448873205023,4.0372272009625266e-12,0.0
38,0.68,1012.022,182.14654710167088,-1362.9060479999841,1024223.924,1049178906104.7968,0.08406141895363126,0.19018484863922613,517.1262686594373,169.6981169868971,345873601.247279,0.10219467778738152,4.9207824695585694e-12,0.0
33,0.69,-1012.8448,178.52925592870452,-1384.8763680000259,1025886.936,1052576163083.3856,0.07987347446985504,0.1877956665282049,518.7070731468013,161.44093537417382,329825033.6717906,0.10096078560158851,4.380376152346694e-12,0.0
50,0.7,1013.8212,165.58343392703682,-1407.4485600000135,1027862.796,1056622171597.9489,0.07598606044882983,0.18095001739140915,508.13891593093393,153.75094106677665,314792068.34267664,0.1006330505222065,4.050356455210325e-12,0.0
24,0.71,1014.9424,150.91318194149062,-1430.2251360000082,1030133.032,1061276487661.5616,0.07141485494589839,0.1752480454080656,500.0144634428897,144.67223925537922,296895799.4078855,0.10461003822953942,5.158511510808877e-12,0.0
41,0.72,1015.624,145.36381873721257,-1452.193344000035,1031515.5552,1064120678629.5936,0.068677122882009,0.17095021501374452,495.23873340829357,139.21401821445238,286056853.56990075,0.10297736585114076,3.1664703705818362e-12,0.0
3,0.73,1016.2288,137.30253047822043,-1473.9657760000207,1032742.1232,1066643369453.7024,0.06496474009864033,0.16570320979175196,487.487336150532,131.82015540765408,271396634.0424184,0.10215121148800871,4.5905213892611835e-12,0.0
44,0.74,-1017.014,123.59112960053608,-1496.1616000000142,1034335.3736,1069923479494.736,0.059688959311082763,0.15702739843815683,468.8678697227879,121.22044313264891,250004585.46101803,0.10190161468919687,5.231249319694625e-12,0.0
23,0.75,1017.6888,118.39370544021949,-1518.1884,1035706.832,1072756116366.3488,0.05739615680955053,0.15459760404306158,468.38426359948903,116.64152780207633,240878511.95799655,0.10321442649635612,0.0,0.0
