,T,M,E,E2,X,J,B,M2,M4
0,0,-248.0,-251.6799999999994,63342.822399999706,16,0.52,0.0,61504.0,3782742016.0
1,10,-248.0,-251.67999999999958,63342.822399999786,16,0.52,0.0,61504.0,3782742016.0
2,20,-244.0,-241.2799999999995,58216.03839999975,16,0.52,0.0,59536.0,3544535296.0
3,30,-246.0,-247.5199999999995,61266.15039999975,16,0.52,0.0,60516.0,3662186256.0
4,40,-236.0,-239.19999999999945,57216.63999999974,16,0.52,0.0,55696.0,3102044416.0
5,50,-238.0,-235.03999999999968,55243.801599999846,16,0.52,0.0,56644.0,3208542736.0
6,60,-232.0,-232.95999999999964,54270.36159999983,16,0.52,0.0,53824.0,2897022976.0
7,70,-228.0,-218.39999999999984,47698.559999999925,16,0.52,0.0,51984.0,2702336256.0
8,80,-246.0,-245.43999999999966,60240.79359999983,16,0.52,0.0,60516.0,3662186256.0
9,90,-228.0,-218.3999999999997,47698.55999999987,16,0.52,0.0,51984.0,2702336256.0
10,100,-248.0,-251.67999999999947,63342.82239999973,16,0.52,0.0,61504.0,3782742016.0
11,110,-250.0,-253.75999999999948,64394.13759999973,16,0.52,0.0,62500.0,3906250000.0
12,120,-248.0,-249.59999999999948,62300.15999999974,16,0.52,0.0,61504.0,3782742016.0
13,130,-250.0,-253.75999999999948,64394.13759999973,16,0.52,0.0,62500.0,3906250000.0
14,140,-214.0,-222.5599999999999,49532.95359999995,16,0.52,0.0,45796.0,2097273616.0
15,150,-206.0,-212.15999999999985,45011.86559999994,16,0.52,0.0,42436.0,1800814096.0
16,160,-208.0,-197.59999999999997,39045.75999999999,16,0.52,0.0,43264.0,1871773696.0
17,170,-234.0,-224.63999999999982,50463.12959999992,16,0.52,0.0,54756.0,2998219536.0
18,180,-230.0,-235.03999999999962,55243.801599999824,16,0.52,0.0,52900.0,2798410000.0
19,190,-234.0,-232.9599999999996,54270.36159999982,16,0.52,0.0,54756.0,2998219536.0
20,200,-250.0,-255.83999999999938,65454.10559999968,16,0.52,0.0,62500.0,3906250000.0
21,210,-246.0,-245.4399999999995,60240.79359999975,16,0.52,0.0,60516.0,3662186256.0
22,220,-236.0,-232.95999999999972,54270.36159999987,16,0.52,0.0,55696.0,3102044416.0
23,230,-244.0,-241.27999999999955,58216.03839999978,16,0.52,0.0,59536.0,3544535296.0
24,240,-240.0,-239.19999999999956,57216.63999999979,16,0.52,0.0,57600.0,3317760000.0
25,250,-252.0,-257.9199999999995,66522.72639999974,16,0.52,0.0,63504.0,4032758016.0
26,260,-248.0,-251.67999999999938,63342.82239999969,16,0.52,0.0,61504.0,3782742016.0
27,270,-242.0,-243.35999999999964,59224.089599999825,16,0.52,0.0,58564.0,3429742096.0
28,280,-240.0,-239.1999999999996,57216.6399999998,16,0.52,0.0,57600.0,3317760000.0
29,290,-230.0,-228.79999999999964,52349.439999999835,16,0.52,0.0,52900.0,2798410000.0
30,300,-242.0,-243.35999999999962,59224.08959999981,16,0.52,0.0,58564.0,3429742096.0
31,310,-240.0,-239.19999999999962,57216.63999999982,16,0.52,0.0,57600.0,3317760000.0
32,320,-240.0,-232.9599999999997,54270.36159999986,16,0.52,0.0,57600.0,3317760000.0
