# Time-averaged data for fix MSD_output
# TimeStep c_MSD[4]
1000 1.26163
2000 3.7663
3000 6.15049
4000 8.85556
5000 11.3235
6000 14.0904
7000 15.5752
8000 17.3121
9000 19.663
10000 21.9889
11000 23.6559
12000 25.0869
13000 26.8219
14000 29.6879
15000 31.059
16000 33.9481
17000 37.649
18000 39.6364
19000 41.5314
20000 43.7
21000 46.4264
22000 49.3311
23000 52.7115
24000 56.1452
25000 58.9055
26000 59.3396
27000 60.4048
28000 62.9861
29000 64.1556
30000 66.197
31000 67.0688
32000 68.1701
33000 69.8405
34000 73.5082
35000 74.4525
36000 77.4166
37000 81.3568
38000 85.0145
39000 85.7989
40000 88.3849
41000 91.0942
42000 93.879
43000 97.3649
44000 99.4009
45000 101.364
46000 102.037
47000 102.179
48000 106.111
49000 110.502
50000 112.992
51000 113.348
52000 114.215
53000 115.933
54000 117.244
55000 119.395
56000 122.879
57000 128.57
58000 131.656
59000 136.302
60000 136.969
61000 139.951
62000 146.607
63000 149.163
64000 150.254
65000 151.369
66000 152.817
67000 153.179
68000 158.875
69000 164.371
70000 168.375
71000 169.692
72000 172.093
73000 175.612
74000 179.878
75000 181.729
76000 185.959
77000 186.222
78000 185.706
79000 187.124
80000 185.858
81000 185.672
82000 189.108
83000 189.016
84000 188.361
85000 190.691
86000 189.525
87000 191.221
88000 195.364
89000 198.633
90000 202.368
91000 204.789
92000 207.153
93000 208.282
94000 210.454
95000 212.682
96000 214.855
97000 216.047
98000 217.665
99000 220.306
100000 225.154
101000 228.531
102000 231.11
103000 234.438
104000 235.176
105000 238.431
106000 240.288
107000 243.504
108000 245.326
109000 246.565
110000 246.704
111000 249.226
112000 251.336
113000 252.295
114000 252.075
115000 254.979
116000 258.515
117000 257.674
118000 260.673
119000 259.77
120000 259.298
121000 265.519
122000 269.602
123000 268.232
124000 269.412
125000 270.378
126000 267.789
127000 265.807
128000 267.209
129000 268.315
130000 273.269
131000 276.653
132000 275.412
133000 274.293
134000 273.097
135000 277.256
136000 280.878
137000 284.053
138000 285.516
139000 283.672
140000 284.426
141000 284.572
142000 286.739
143000 288.931
144000 290.962
145000 292.101
146000 294.594
147000 297.514
148000 304.899
149000 308.79
150000 311.097
151000 315.183
152000 317.304
153000 318.805
154000 322.243
155000 327.183
156000 329.973
157000 334.256
158000 337.613
159000 337.161
160000 341.336
161000 346.034
162000 347.6
163000 350.962
164000 351.48
165000 354.317
166000 353.186
167000 354.329
168000 349.604
169000 352.01
170000 353.559
171000 351.256
172000 351.058
173000 356.199
174000 360.727
175000 362.328
176000 368.655
177000 376.818
178000 381.709
179000 383.972
180000 386.931
181000 387.362
182000 391.43
183000 393.791
184000 395.704
185000 398.07
186000 400.57
187000 401.025
188000 400.927
189000 400.732
190000 397.369
191000 401.832
192000 406.743
193000 405.37
194000 406.852
195000 411.396
196000 414.805
197000 420.195
198000 425.27
199000 429.043
200000 429.852
201000 427.02
202000 428.296
203000 429.628
204000 425.401
205000 430.277
206000 434.707
207000 434.133
208000 437.316
209000 443.996
210000 449.344
211000 450.849
212000 450.174
213000 451.583
214000 457.731
215000 466.606
216000 469.148
217000 469.114
218000 471.425
219000 475.298
220000 474.008
221000 479.714
222000 485.766
223000 487.681
224000 490.463
225000 486.552
226000 489.811
227000 492.371
228000 490.686
229000 495.135
230000 503.84
231000 511.386
232000 510.472
233000 516.591
234000 515.424
235000 519.152
236000 521.562
237000 524.953
238000 532.169
239000 535.694
240000 540.096
241000 542.272
242000 543.655
243000 544.156
244000 552.142
245000 551.264
246000 557.017
247000 561.345
248000 564.278
249000 568.672
250000 571.401
251000 579.73
252000 580.148
253000 583.834
254000 585.508
255000 585.931
256000 588.639
257000 589.921
258000 593.374
259000 591.842
260000 593.695
261000 597.391
262000 593.32
263000 595.199
264000 598.915
265000 595.056
266000 603.243
267000 612.764
268000 617.429
269000 616.378
270000 617.764
271000 616.779
272000 618.417
273000 617.108
274000 620.458
275000 623.45
276000 621.088
277000 622.126
278000 622.317
279000 620.816
280000 621.935
281000 625.99
282000 629.486
283000 631.855
284000 634.737
285000 638.033
286000 640.964
287000 646.709
288000 650.059
289000 659.044
290000 662.295
291000 667.503
292000 669.872
293000 670.719
294000 666.065
295000 663.184
296000 658.035
297000 658.308
298000 658.749
299000 672.75
300000 682.629
301000 684.242
302000 687.71
303000 697.203
304000 704.568
305000 703.372
306000 708.386
307000 714.302
308000 712.802
309000 706.632
310000 708.23
311000 715.167
312000 718.238
313000 719.203
314000 721.903
315000 728.149
316000 729.793
317000 728.665
318000 726.503
319000 728.823
320000 730.685
321000 732.922
322000 731.17
323000 724.594
324000 722.16
325000 723.399
326000 722.142
327000 725.391
328000 728.475
329000 727.191
330000 731.451
331000 728.015
332000 728.241
333000 729.226
334000 726.23
335000 730.858
336000 734.871
337000 739.679
338000 741.036
339000 737.392
340000 739.935
341000 741.36
342000 743.019
343000 742.874
344000 750.241
345000 755.776
346000 761.117
347000 768.193
348000 769.048
349000 776.051
350000 777.161
351000 768.93
352000 767.997
353000 769.981
354000 769.016
355000 770.813
356000 770.206
357000 769.899
358000 766.785
359000 762.732
360000 768.57
361000 766.954
362000 769.208
363000 769.106
364000 778.378
365000 779.529
366000 775.695
367000 781.294
368000 788.739
369000 793.875
370000 797.328
371000 800.508
372000 801.104
373000 804.615
374000 810.163
375000 816.093
376000 814.766
377000 817.334
378000 813.921
379000 813.427
380000 815.02
381000 820.139
382000 828.645
383000 833.329
384000 827.022
385000 832.337
386000 832.946
387000 834.164
388000 835.572
389000 835.15
390000 835.979
391000 845.164
392000 848.825
393000 846.168
394000 842.81
395000 843.814
396000 845.22
397000 845.003
398000 849.041
399000 851.223
400000 856.033
401000 863.579
402000 863.39
403000 858.568
404000 858.014
405000 853.878
406000 850.52
407000 850.46
408000 853.246
409000 855.62
410000 860.237
411000 860.687
412000 860.092
413000 855.516
414000 855.826
415000 858.848
416000 862.287
417000 858.62
418000 863.173
419000 864.076
420000 875.262
421000 879.703
422000 882.161
423000 882.549
424000 888.819
425000 895.344
426000 897.637
427000 896.585
428000 898.12
429000 899.311
430000 897.991
431000 909.324
432000 911.574
433000 910.648
434000 909.388
435000 916.946
436000 917.829
437000 913.443
438000 911.682
439000 915.007
440000 916.964
441000 922.936
442000 925.91
443000 928.85
444000 928.325
445000 931.819
446000 936.536
447000 943.29
448000 944.986
449000 946.264
450000 943.265
