# Time-correlated data for fix VACF_output
# Timestep Number-of-time-windows
# Index TimeDelta Ncount c_VACF[1]*c_VACF[1]
10000000 100
1 0 10000001 0.00571255
2 1 10000000 0.0056382
3 2 9999999 0.00542162
4 3 9999998 0.00508062
5 4 9999997 0.00464099
6 5 9999996 0.00413234
7 6 9999995 0.00358436
8 7 9999994 0.00302413
9 8 9999993 0.00247465
10 9 9999992 0.00195408
11 10 9999991 0.00147577
12 11 9999990 0.00104851
13 12 9999989 0.000677179
14 13 9999988 0.000363336
15 14 9999987 0.00010591
16 15 9999986 -9.81704e-05
17 16 9999985 -0.000253404
18 17 9999984 -0.000365223
19 18 9999983 -0.000439572
20 19 9999982 -0.00048256
21 20 9999981 -0.000500183
22 21 9999980 -0.000498104
23 22 9999979 -0.000481496
24 23 9999978 -0.000454933
25 24 9999977 -0.000422326
26 25 9999976 -0.0003869
27 26 9999975 -0.000351205
28 27 9999974 -0.000317149
29 28 9999973 -0.000286056
30 29 9999972 -0.000258734
31 30 9999971 -0.000235556
32 31 9999970 -0.000216542
33 32 9999969 -0.000201449
34 33 9999968 -0.00018984
35 34 9999967 -0.000181161
36 35 9999966 -0.000174794
37 36 9999965 -0.000170107
38 37 9999964 -0.000166493
39 38 9999963 -0.000163403
40 39 9999962 -0.000160368
41 40 9999961 -0.000157016
42 41 9999960 -0.00015308
43 42 9999959 -0.000148396
44 43 9999958 -0.000142895
45 44 9999957 -0.000136597
46 45 9999956 -0.000129588
47 46 9999955 -0.00012201
48 47 9999954 -0.000114036
49 48 9999953 -0.000105858
50 49 9999952 -9.76666e-05
51 50 9999951 -8.96433e-05
52 51 9999950 -8.19499e-05
53 52 9999949 -7.47239e-05
54 53 9999948 -6.80749e-05
55 54 9999947 -6.20815e-05
56 55 9999946 -5.67895e-05
57 56 9999945 -5.22102e-05
58 57 9999944 -4.83215e-05
59 58 9999943 -4.50722e-05
60 59 9999942 -4.23907e-05
61 60 9999941 -4.01948e-05
62 61 9999940 -3.84018e-05
63 62 9999939 -3.69365e-05
64 63 9999938 -3.57349e-05
65 64 9999937 -3.47451e-05
66 65 9999936 -3.39242e-05
67 66 9999935 -3.32334e-05
68 67 9999934 -3.26345e-05
69 68 9999933 -3.20873e-05
70 69 9999932 -3.15511e-05
71 70 9999931 -3.09877e-05
72 71 9999930 -3.03646e-05
73 72 9999929 -2.9658e-05
74 73 9999928 -2.88541e-05
75 74 9999927 -2.79492e-05
76 75 9999926 -2.69487e-05
77 76 9999925 -2.5865e-05
78 77 9999924 -2.47166e-05
79 78 9999923 -2.35273e-05
80 79 9999922 -2.23253e-05
81 80 9999921 -2.11426e-05
82 81 9999920 -2.00132e-05
83 82 9999919 -1.89706e-05
84 83 9999918 -1.80438e-05
85 84 9999917 -1.72538e-05
86 85 9999916 -1.66112e-05
87 86 9999915 -1.61155e-05
88 87 9999914 -1.57555e-05
89 88 9999913 -1.55119e-05
90 89 9999912 -1.53601e-05
91 90 9999911 -1.5273e-05
92 91 9999910 -1.52243e-05
93 92 9999909 -1.51895e-05
94 93 9999908 -1.51469e-05
95 94 9999907 -1.50782e-05
96 95 9999906 -1.49694e-05
97 96 9999905 -1.4812e-05
98 97 9999904 -1.46047e-05
99 98 9999903 -1.43528e-05
100 99 9999902 -1.40681e-05
