# Time-averaged data for fix MSD_output
# TimeStep c_MSD[4]
1000 1.52191
2000 4.04417
3000 6.91537
4000 9.35497
5000 11.9764
6000 14.7967
7000 17.2843
8000 20.0264
9000 22.6791
10000 25.1016
11000 27.7563
12000 30.6067
13000 33.0552
14000 35.5481
15000 38.494
16000 40.9022
17000 43.518
18000 46.5874
19000 48.9173
20000 52.4457
21000 56.3058
22000 58.6807
23000 63.0841
24000 66.4308
25000 69.317
26000 72.0353
27000 75.0678
28000 79.3694
29000 81.22
30000 83.6902
31000 85.5824
32000 88.6622
33000 91.0537
34000 92.6498
35000 95.2637
36000 98.1125
37000 100.785
38000 103.24
39000 105.379
40000 109.387
41000 113.639
42000 116.852
43000 118.867
44000 123.157
45000 127.703
46000 131.053
47000 133.837
48000 135.699
49000 138.348
50000 141.407
51000 143.39
52000 144.717
53000 147.282
54000 150.113
55000 151.764
56000 154.266
57000 157.513
58000 159.267
59000 160.764
60000 164.693
61000 168.035
62000 171.945
63000 174.313
64000 176.066
65000 178.843
66000 181.804
67000 184.822
68000 186.806
69000 189.529
70000 191.598
71000 194.015
72000 196.755
73000 200.905
74000 205.989
75000 207.399
76000 209.246
77000 211.913
78000 215.314
79000 219.006
80000 222.836
81000 226.358
82000 229.865
83000 232.514
84000 234.825
85000 239.621
86000 242.789
87000 245.051
88000 247.739
89000 253.558
90000 257.244
91000 257.129
92000 258.608
93000 262.425
94000 265.016
95000 266.672
96000 268.438
97000 269.916
98000 270.372
99000 274.086
100000 278.654
101000 281.432
102000 283.238
103000 284.32
104000 287.504
105000 291.824
106000 295.605
107000 298.651
108000 302.456
109000 305.439
110000 309.836
111000 312.243
112000 313.449
113000 314.393
114000 317.9
115000 320.388
116000 323.153
117000 327.524
118000 330.355
119000 334.006
120000 335.703
121000 336.222
122000 339.252
123000 342.212
124000 345.313
125000 348.714
126000 351.142
127000 354.849
128000 355.459
129000 358.232
130000 362.459
131000 365.602
132000 367.388
133000 370.627
134000 373.562
135000 376.954
136000 381.383
137000 384.599
138000 387.824
139000 390.988
140000 392.303
141000 395.225
142000 397.044
143000 400.642
144000 403.398
145000 405.99
146000 407.302
147000 408.448
148000 410.816
149000 411.353
150000 413.528
151000 415.518
152000 417.1
153000 421.268
154000 424.082
155000 425.199
156000 426.866
157000 428.978
158000 431.559
159000 435.149
160000 436.093
161000 436.665
162000 438.065
163000 438.458
164000 442.106
165000 441.528
166000 441.631
167000 442.163
168000 445.704
169000 446.776
170000 448.425
171000 450.172
172000 452.242
173000 455.293
174000 456.141
175000 460.383
176000 464.482
177000 469.793
178000 471.59
179000 476.805
180000 480.943
181000 483.485
182000 487.115
183000 487.983
184000 489.633
185000 490.732
186000 491.532
187000 494.662
188000 497.719
189000 500.24
190000 503.105
191000 504.909
192000 506.131
193000 510.49
194000 512.227
195000 515.009
196000 519.041
197000 521.131
198000 521.217
199000 522.226
200000 524.142
201000 528.091
202000 533.363
203000 535.966
204000 539.14
205000 542.016
206000 546.809
207000 549.685
208000 551.406
209000 553.672
210000 555.494
211000 556.867
212000 557.456
213000 561.756
214000 566.863
215000 567.254
216000 568.461
217000 569.4
218000 571.87
219000 574.435
220000 576.474
221000 578.306
222000 583.383
223000 584.952
224000 586.444
225000 586.734
226000 591.243
227000 595.083
228000 596.67
229000 597.844
230000 598.419
231000 599.578
232000 601.187
233000 604.325
234000 605.091
235000 607.821
236000 611.087
237000 613.817
238000 614.949
239000 619.265
240000 619.291
241000 622.388
242000 627.741
243000 631.007
244000 634.342
245000 635.392
246000 639.924
247000 644.261
248000 644.823
249000 646.955
250000 650.845
251000 655.968
252000 660.803
253000 662.715
254000 663.05
255000 667.107
256000 666.781
257000 669.626
258000 673.189
259000 673.138
260000 674.772
261000 676.002
262000 679.465
263000 684.867
264000 686.293
265000 690.725
266000 690.014
267000 693.098
268000 695.63
269000 698.633
270000 700.135
271000 703.171
272000 706.879
273000 711.243
274000 716.218
275000 717.589
276000 718.93
277000 717.53
278000 719.431
279000 723.381
280000 726.545
281000 732.423
282000 735.785
283000 740.721
284000 745.203
285000 747.985
286000 751.405
287000 751.478
288000 755.288
289000 757.384
290000 761.755
291000 767.407
292000 773.191
293000 776.144
294000 774.962
295000 776.921
296000 782.472
297000 781.732
298000 782.773
299000 787.77
300000 789.564
301000 790.629
302000 791.965
303000 797.318
304000 798.493
305000 799.843
306000 801.418
307000 802.791
308000 803.582
309000 807.553
310000 811.632
311000 813.535
312000 814.392
313000 817.434
314000 820.782
315000 824.573
316000 829.619
317000 836.133
318000 839.363
319000 847.395
320000 850.5
321000 853.254
322000 852.921
323000 852.749
324000 856.429
325000 861.866
326000 866.394
327000 869.225
328000 874.598
329000 878.416
330000 879.072
331000 883.099
332000 885.733
333000 884.338
334000 883.489
335000 886.41
336000 888.469
337000 892.026
338000 893.922
339000 893.632
340000 894.58
341000 897.715
342000 899.963
343000 901.205
344000 903.833
345000 907.717
346000 910.611
347000 912.831
348000 914.452
349000 914.078
350000 915.346
351000 917.357
352000 922.89
353000 925.977
354000 927.649
355000 935.481
356000 939.868
357000 941.939
358000 944.592
359000 946.939
360000 948.87
361000 949.379
362000 951.247
363000 954.493
364000 957.43
365000 959.376
366000 961.121
367000 963.319
368000 964.802
369000 962.658
370000 964.338
371000 965.436
372000 966.607
373000 968.852
374000 972.259
375000 971.717
376000 973.561
377000 975.846
378000 981.121
379000 983.232
380000 983.915
381000 985.272
382000 990.212
383000 990.683
384000 993.877
385000 997.655
386000 1001.69
387000 1007.43
388000 1009.49
389000 1016.09
390000 1019.74
391000 1021.77
392000 1024.48
393000 1030.22
394000 1032.76
395000 1031.88
396000 1031.14
397000 1032.05
398000 1037.45
399000 1041.16
400000 1039.87
401000 1042.59
402000 1045.5
403000 1044.43
404000 1047.82
405000 1050.1
406000 1052.11
407000 1053.46
408000 1053.46
409000 1054.38
410000 1053.65
411000 1051.63
412000 1045.69
413000 1050.83
414000 1055.81
415000 1060.56
416000 1065.08
417000 1068.81
418000 1072.04
419000 1073.1
420000 1076.09
421000 1077.61
422000 1080.02
423000 1080.71
424000 1086
425000 1088.6
426000 1092.15
427000 1097.36
428000 1104.62
429000 1108.46
430000 1111.88
431000 1113.54
432000 1115.62
433000 1116.36
434000 1117.79
435000 1122.03
436000 1128.41
437000 1133.28
438000 1137.25
439000 1140.04
440000 1144.76
441000 1146.38
442000 1145.25
443000 1147.16
444000 1153.32
445000 1156.45
446000 1153.28
447000 1153.5
448000 1153.95
449000 1156.9
450000 1158.25
451000 1158.57
452000 1161.67
453000 1165.07
454000 1165.43
455000 1164.18
456000 1164.81
457000 1166.79
458000 1168.63
459000 1168.92
460000 1168.86
461000 1170.28
462000 1170.03
463000 1171.7
464000 1175.24
465000 1182.2
466000 1187
467000 1187.8
468000 1189.11
469000 1196.73
470000 1200.93
471000 1202.95
472000 1209.24
473000 1210.43
474000 1216.73
475000 1220.27
476000 1222.11
477000 1224.8
478000 1229.86
479000 1234.42
480000 1239.16
481000 1245.06
482000 1247.7
483000 1248.99
484000 1253.24
485000 1254.27
486000 1258.28
487000 1264.2
488000 1267.58
489000 1270.21
490000 1273.78
491000 1279.97
492000 1282.26
493000 1284.31
494000 1287.73
495000 1292.8
496000 1297.85
497000 1300.02
498000 1297.92
499000 1300.1
500000 1306.09
501000 1313.2
502000 1315.4
503000 1315.79
504000 1314.68
505000 1318.64
506000 1321.83
507000 1328.74
508000 1329.5
509000 1331.96
510000 1337.87
511000 1336.35
512000 1335.94
513000 1343.2
514000 1340.65
515000 1338.35
516000 1336.26
517000 1339.53
518000 1338.89
519000 1340.44
520000 1342.18
521000 1347.63
522000 1354.39
523000 1358.62
524000 1362.79
525000 1361.96
526000 1363.98
527000 1370.84
528000 1374.9
529000 1379.04
530000 1376.96
531000 1374.52
532000 1376.34
533000 1381.88
534000 1383.83
535000 1380.72
536000 1379.43
537000 1385.61
538000 1389.32
539000 1390.58
540000 1393.55
541000 1395.59
542000 1395.19
543000 1398.96
544000 1400.5
545000 1403.31
546000 1406.02
547000 1408.44
548000 1414.7
549000 1414.35
550000 1416.26
551000 1419.56
552000 1428.62
553000 1433.48
554000 1437.91
555000 1440.96
556000 1439.91
557000 1439.64
558000 1438.16
559000 1437.61
560000 1436.04
561000 1436.44
562000 1439.82
563000 1441.35
564000 1443.8
565000 1446.19
566000 1453.27
567000 1456.69
568000 1461.37
569000 1459.17
570000 1460.98
571000 1464.24
572000 1471.15
573000 1475.01
574000 1478.21
575000 1477.69
576000 1480.44
577000 1481.42
578000 1478.77
579000 1476.68
580000 1476.18
581000 1476.91
582000 1477.78
583000 1476.9
584000 1482.99
585000 1486.05
586000 1485.28
587000 1485.79
588000 1483.72
589000 1490.03
590000 1494.92
591000 1497.82
592000 1501.42
593000 1504.59
594000 1509.05
595000 1511.82
596000 1511.93
597000 1515.12
598000 1520.72
599000 1525.21
600000 1529.01
601000 1528.32
602000 1530
603000 1532.05
604000 1536.76
605000 1539.72
606000 1544.69
607000 1549.59
608000 1551.4
609000 1556.34
610000 1561.78
611000 1563.01
612000 1567.12
613000 1574.03
614000 1575.71
615000 1579.45
616000 1581.31
617000 1579.51
618000 1579.3
619000 1578.16
620000 1580.22
621000 1586.68
622000 1590.28
623000 1594.34
624000 1596.39
625000 1598.81
626000 1600.06
627000 1600.56
628000 1603.3
629000 1608.01
630000 1611.38
631000 1611.91
632000 1613.55
633000 1618.7
634000 1626.43
635000 1627.82
636000 1632.46
637000 1635.49
638000 1636.29
639000 1639.48
640000 1642.46
641000 1649.66
642000 1653.45
643000 1656.05
644000 1654.25
645000 1658.53
646000 1666.4
647000 1669.6
648000 1675.46
649000 1677.28
650000 1679.32
651000 1683.42
652000 1687.36
653000 1692.96
654000 1695.28
655000 1694.42
656000 1691.92
657000 1692.61
658000 1695.56
659000 1693.6
660000 1694.59
661000 1702.06
662000 1709.64
663000 1715.94
664000 1718.8
665000 1720.35
666000 1719.74
667000 1722.12
668000 1723.75
669000 1723.61
670000 1721.15
671000 1718.82
672000 1720.21
673000 1720.36
674000 1728.81
675000 1736.34
676000 1737.54
677000 1737
678000 1740.85
679000 1742.1
680000 1743.12
681000 1746.44
682000 1744.81
683000 1745.27
684000 1750.71
685000 1755.9
686000 1758
687000 1761.14
688000 1763.9
689000 1766.37
690000 1768.79
691000 1766.07
692000 1771.48
693000 1776.47
694000 1778.45
695000 1779.01
696000 1783.77
697000 1785.37
698000 1780.29
699000 1784
700000 1792.44
701000 1798.57
702000 1794.54
703000 1791.04
704000 1794.35
705000 1798.43
706000 1800.74
707000 1803.49
708000 1806.9
709000 1808.8
710000 1808.15
711000 1809.91
712000 1811.03
713000 1820.63
714000 1823.38
715000 1828.31
716000 1833.4
717000 1833.92
718000 1836.11
719000 1836.88
720000 1837.86
721000 1840.73
722000 1842.4
723000 1841.9
724000 1844.71
725000 1844.15
726000 1848.02
727000 1852.7
728000 1856.53
729000 1854.7
730000 1852
731000 1855.3
732000 1858.06
733000 1856.49
734000 1860.6
735000 1869.4
736000 1872.7
737000 1879.29
738000 1878.27
739000 1884.58
740000 1887.85
741000 1887.52
742000 1888.92
743000 1890.77
744000 1894.18
745000 1898.48
746000 1905
747000 1904.92
748000 1909.79
749000 1910.21
750000 1911.72
751000 1912.44
752000 1913.49
753000 1916.18
754000 1917.37
755000 1917.82
756000 1921.43
757000 1923.56
758000 1917.73
759000 1914.62
760000 1912.58
761000 1919
762000 1925.98
763000 1934.15
764000 1938.35
765000 1938.77
766000 1941.17
767000 1946.1
768000 1948.97
769000 1944.48
770000 1945.27
771000 1947.04
772000 1945.89
773000 1941.6
774000 1944.77
775000 1942
776000 1948.32
777000 1949.85
778000 1950.41
779000 1948.06
780000 1945.51
781000 1945.7
782000 1945.42
783000 1948.84
784000 1951.27
785000 1954.59
786000 1963.36
787000 1969.31
788000 1973.76
789000 1980.97
790000 1981.93
791000 1985.14
792000 1991.08
793000 1998.98
794000 2001.28
795000 2006.91
796000 2010.69
797000 2014.55
798000 2012.33
799000 2017.74
800000 2022.69
801000 2024.48
802000 2030.14
803000 2033.63
804000 2043.18
805000 2045.43
806000 2048.14
807000 2049.13
808000 2052.26
809000 2049.76
810000 2050.34
811000 2052.28
812000 2056.58
813000 2054.13
814000 2048.61
815000 2046.26
816000 2049.48
817000 2051.98
818000 2059.54
819000 2066.11
820000 2071.27
821000 2070.6
822000 2076.87
823000 2082.3
824000 2087.28
825000 2087.27
826000 2086.35
827000 2084.79
828000 2087.75
829000 2094.46
830000 2097.34
831000 2101.92
832000 2110.3
833000 2111.51
834000 2111.55
835000 2110.93
836000 2119.01
837000 2122.36
838000 2124.52
839000 2122.45
840000 2119.69
841000 2122.37
842000 2126.71
843000 2127
844000 2129.64
845000 2136.34
846000 2140.26
847000 2137.3
848000 2136.21
849000 2140.53
850000 2135.97
851000 2135.12
852000 2138.24
853000 2137.08
854000 2142.33
855000 2148.8
856000 2149.48
857000 2149.92
858000 2151.88
859000 2156.81
860000 2160.75
861000 2161.78
862000 2163.46
863000 2169.49
864000 2176.1
865000 2178.33
866000 2182.11
867000 2186.71
868000 2193.69
869000 2201.31
870000 2206.9
871000 2211.98
872000 2211.54
873000 2212.08
874000 2218.29
875000 2214.32
876000 2210.29
877000 2213.19
878000 2214.3
879000 2211.22
880000 2213.97
881000 2218.73
882000 2224.17
883000 2225.75
884000 2227.18
885000 2231.95
886000 2231.57
887000 2236.35
888000 2237.83
889000 2237.64
890000 2235.67
891000 2237.35
892000 2233.55
893000 2229.26
894000 2227.51
895000 2229.11
896000 2235.44
897000 2243.92
898000 2246.67
899000 2246.48
900000 2252.25
901000 2251.77
902000 2252.49
903000 2254.76
904000 2261.92
905000 2261.01
906000 2259.49
907000 2262.7
908000 2269.6
909000 2276.46
910000 2279.18
911000 2283.7
912000 2283.63
913000 2287.11
914000 2296.2
915000 2300.67
916000 2299.21
917000 2297.26
918000 2298.33
919000 2297.05
920000 2296.18
921000 2295.47
922000 2295.46
923000 2301.11
924000 2303.99
925000 2303.21
926000 2302.15
927000 2300.63
928000 2300.92
929000 2302.13
930000 2301.79
931000 2306.62
932000 2305.97
933000 2302.07
934000 2304.35
935000 2306.79
936000 2310.38
937000 2315.06
938000 2315.55
939000 2319.12
940000 2320.69
941000 2320.29
942000 2322.44
943000 2325.38
944000 2327.29
945000 2331.14
946000 2332.26
947000 2336.42
948000 2338.59
949000 2341.1
950000 2343.35
951000 2343.39
952000 2340.39
953000 2340.27
954000 2346.58
955000 2354.12
956000 2357.88
957000 2358
958000 2357.73
959000 2358.13
960000 2364.99
961000 2368.21
962000 2370.34
963000 2377.39
964000 2380.27
965000 2384.43
966000 2387.61
967000 2390.81
968000 2390.83
969000 2391.79
970000 2392.89
971000 2401.13
972000 2407.95
973000 2413.98
974000 2412.32
975000 2413.85
976000 2417.58
977000 2422.07
978000 2425.38
979000 2430.59
980000 2432.35
981000 2433.96
982000 2437.79
983000 2445.58
984000 2446.42
985000 2455.5
986000 2461.83
987000 2466.7
988000 2467.85
989000 2467.77
990000 2471.68
991000 2479.51
992000 2484.53
993000 2486.87
994000 2491.66
995000 2494.31
996000 2492.38
997000 2494.19
998000 2495.01
999000 2498.58
1000000 2505.19
1001000 2518.17
1002000 2521.33
1003000 2521.91
1004000 2524.06
1005000 2530.62
1006000 2535.88
1007000 2542.25
1008000 2540.5
1009000 2543.45
1010000 2546.84
1011000 2546.98
1012000 2549.37
1013000 2551.43
1014000 2555.2
1015000 2560.54
1016000 2563
1017000 2564
1018000 2570.51
1019000 2573.22
1020000 2574.45
1021000 2570.94
1022000 2569.39
1023000 2575.36
1024000 2582.01
1025000 2582.88
1026000 2589.5
1027000 2594.53
1028000 2596.41
1029000 2597.85
1030000 2609.59
1031000 2617.78
1032000 2622.15
1033000 2633.83
1034000 2639.39
1035000 2647.18
1036000 2652.03
1037000 2649.63
1038000 2653.12
1039000 2661.14
1040000 2662.02
1041000 2663.63
1042000 2670.09
1043000 2670.2
1044000 2671.64
1045000 2670.2
1046000 2674.7
1047000 2681.14
1048000 2680.08
1049000 2680.1
1050000 2679.59
1051000 2682.18
1052000 2691.35
1053000 2693.1
1054000 2693.46
1055000 2692.71
1056000 2700.56
1057000 2705.76
1058000 2712.89
1059000 2718.18
1060000 2730.15
1061000 2734.14
1062000 2732.67
1063000 2740.42
1064000 2749.5
1065000 2751.28
1066000 2755.66
1067000 2759.66
1068000 2759.41
1069000 2764.15
1070000 2776.78
1071000 2777.97
1072000 2783.85
1073000 2789.31
1074000 2796.34
1075000 2800
1076000 2802.1
1077000 2803.81
1078000 2803.19
1079000 2808.68
1080000 2813.87
1081000 2814.36
1082000 2813.29
1083000 2812.53
1084000 2814.8
1085000 2816.26
1086000 2818.7
1087000 2824.6
1088000 2823.78
1089000 2828.36
1090000 2830.56
1091000 2835.98
1092000 2841.23
1093000 2842.1
1094000 2844.84
1095000 2848.78
1096000 2850.54
1097000 2849.8
1098000 2852.57
1099000 2865.73
1100000 2873.95
1101000 2873.2
1102000 2879.09
1103000 2881.88
1104000 2880.19
1105000 2877.12
1106000 2880.49
1107000 2884.62
1108000 2882.09
1109000 2883.22
1110000 2889.39
1111000 2895.77
1112000 2897.61
1113000 2903.56
1114000 2905.68
1115000 2908.72
1116000 2910.74
1117000 2912.84
1118000 2916.38
1119000 2918.36
1120000 2921.29
1121000 2923.4
1122000 2922.98
1123000 2923.77
1124000 2927.53
1125000 2931.85
1126000 2930.27
1127000 2938.42
1128000 2936.72
1129000 2936.96
1130000 2933.78
1131000 2929.23
1132000 2932.9
1133000 2935.62
1134000 2937.53
1135000 2944.63
1136000 2951.18
1137000 2958.7
1138000 2961.67
1139000 2971.55
1140000 2970.4
1141000 2966.98
1142000 2969.95
1143000 2968.38
1144000 2971.3
1145000 2975.79
1146000 2981.75
1147000 2976.59
1148000 2979.46
1149000 2985.01
1150000 2980.4
1151000 2983.76
1152000 2988.5
1153000 2994.22
1154000 3003.26
1155000 3007.66
1156000 3009.81
1157000 3009.88
1158000 3010.32
1159000 3015.27
1160000 3019.09
1161000 3021.57
1162000 3024.9
1163000 3026.17
1164000 3022.25
1165000 3020.94
1166000 3022.38
1167000 3022.59
1168000 3023.21
1169000 3030.08
1170000 3034.53
1171000 3037.36
1172000 3038.17
1173000 3042.42
1174000 3038.19
1175000 3039.16
1176000 3048.85
1177000 3047.87
1178000 3046.59
1179000 3052.34
1180000 3061.09
1181000 3067.18
1182000 3072.81
1183000 3079.62
1184000 3086.61
1185000 3086.25
1186000 3084.43
