# Time-correlated data for fix VACF_output
# Timestep Number-of-time-windows
# Index TimeDelta Ncount c_VACF[1]*c_VACF[1]
10000000 100
1 0 10000001 0.00116922
2 1 10000000 0.00115453
3 2 9999999 0.00111175
4 3 9999998 0.00104422
5 4 9999997 0.000956881
6 5 9999996 0.000855416
7 6 9999995 0.000745606
8 7 9999994 0.0006328
9 8 9999993 0.000521597
10 9 9999992 0.000415697
11 10 9999991 0.000317869
12 11 9999990 0.000230002
13 12 9999989 0.0001532
14 13 9999988 8.78954e-05
15 14 9999987 3.3981e-05
16 15 9999986 -9.07245e-06
17 16 9999985 -4.21022e-05
18 17 9999984 -6.61536e-05
19 18 9999983 -8.2395e-05
20 19 9999982 -9.20458e-05
21 20 9999981 -9.63185e-05
22 21 9999980 -9.63731e-05
23 22 9999979 -9.3282e-05
24 23 9999978 -8.80048e-05
25 24 9999977 -8.13722e-05
26 25 9999976 -7.40778e-05
27 26 9999975 -6.66772e-05
28 27 9999974 -5.95931e-05
29 28 9999973 -5.31251e-05
30 29 9999972 -4.74626e-05
31 30 9999971 -4.27008e-05
32 31 9999970 -3.88569e-05
33 32 9999969 -3.58872e-05
34 33 9999968 -3.37026e-05
35 34 9999967 -3.2184e-05
36 35 9999966 -3.11951e-05
37 36 9999965 -3.05941e-05
38 37 9999964 -3.02435e-05
39 38 9999963 -3.0018e-05
40 39 9999962 -2.98099e-05
41 40 9999961 -2.95328e-05
42 41 9999960 -2.9123e-05
43 42 9999959 -2.85391e-05
44 43 9999958 -2.77613e-05
45 44 9999957 -2.67885e-05
46 45 9999956 -2.56364e-05
47 46 9999955 -2.43331e-05
48 47 9999954 -2.29154e-05
49 48 9999953 -2.14244e-05
50 49 9999952 -1.99017e-05
51 50 9999951 -1.83854e-05
52 51 9999950 -1.69085e-05
53 52 9999949 -1.54975e-05
54 53 9999948 -1.41718e-05
55 54 9999947 -1.29442e-05
56 55 9999946 -1.18217e-05
57 56 9999945 -1.08061e-05
58 57 9999944 -9.89492e-06
59 58 9999943 -9.08206e-06
60 59 9999942 -8.35914e-06
61 60 9999941 -7.71633e-06
62 61 9999940 -7.14349e-06
63 62 9999939 -6.63096e-06
64 63 9999938 -6.17013e-06
65 64 9999937 -5.7537e-06
66 65 9999936 -5.37597e-06
67 66 9999935 -5.03298e-06
68 67 9999934 -4.72262e-06
69 68 9999933 -4.4446e-06
70 69 9999932 -4.20008e-06
71 70 9999931 -3.9911e-06
72 71 9999930 -3.81985e-06
73 72 9999929 -3.68795e-06
74 73 9999928 -3.59587e-06
75 74 9999927 -3.54251e-06
76 75 9999926 -3.525e-06
77 76 9999925 -3.53895e-06
78 77 9999924 -3.5788e-06
79 78 9999923 -3.63836e-06
80 79 9999922 -3.71122e-06
81 80 9999921 -3.79113e-06
82 81 9999920 -3.87234e-06
83 82 9999919 -3.94987e-06
84 83 9999918 -4.01968e-06
85 84 9999917 -4.07871e-06
86 85 9999916 -4.12465e-06
87 86 9999915 -4.15547e-06
88 87 9999914 -4.16884e-06
89 88 9999913 -4.16156e-06
90 89 9999912 -4.12908e-06
91 90 9999911 -4.06551e-06
92 91 9999910 -3.96402e-06
93 92 9999909 -3.81796e-06
94 93 9999908 -3.6223e-06
95 94 9999907 -3.37505e-06
96 95 9999906 -3.07801e-06
97 96 9999905 -2.73691e-06
98 97 9999904 -2.36075e-06
99 98 9999903 -1.96073e-06
100 99 9999902 -1.54901e-06
