,J,M,X,E,M2,M4,dM,dE,dE2,dM2,dM4,time_correlation_mag,dX
49,0.25,0.00251875,45.3515391599999,-35.7578,0.0167279052734375,0.0008171875551342774,0.001853450026610512,0.09466384345379511,6.8915693593335074,0.0003286592341485018,3.5081184037389615e-05,0.02629105671032964,0.0
33,0.26,0.0027453125,48.818416451584426,-38.87769600000002,0.01843487548828125,0.0009916588582098286,0.001958659388940351,0.09901010385498207,7.897611502494973,0.0003644316755592698,4.3322998978316305e-05,0.02664270523779315,3.1005677395610764e-15
43,0.27,0.00108125,54.75501504000022,-42.444,0.020345947265625,0.001182846558094004,0.002062874057692663,0.1048714385844054,9.047439031450974,0.000388463016989622,5.175841433292676e-05,0.026767978322284093,3.584767294960446e-15
16,0.28,0.008175,60.39119215001665,-46.02572800000006,0.022347705078125,0.0014738422155380036,0.002193481653600982,0.11016663005862595,10.327902890012805,0.0004416659685088951,6.309747230332473e-05,0.027634962726161286,4.297120462085313e-15
44,0.29,0.0008171875,66.98257713401563,-49.8867279999999,0.02434427490234375,0.0016655784510075829,0.0023012486996917634,0.11692003728006489,11.845654978046916,0.0004654236500829657,6.57793849047372e-05,0.027839746998003685,3.1619375626543062e-15
11,0.3,0.00221875,75.32629655040091,-53.931359999999984,0.0279574462890625,0.0022249098673462627,0.0025085387650796774,0.12347623040530531,13.531280797277706,0.0005495162581610753,9.590699840408641e-05,0.028810030306149075,4.0083066525982574e-15
19,0.31,0.0052171875,82.07472372473603,-58.347207999999995,0.03117130126953125,0.0028122419185936205,0.002656231929582982,0.12824389363281427,15.271113772178989,0.0006165083452601226,0.00012155845905132881,0.02899209175977812,4.1539388614901054e-15
20,0.32,0.0076625,93.03500252774393,-62.96601600000002,0.0379927978515625,0.004094779498875116,0.00299054407701091,0.13611056928736107,17.41211237607296,0.0007445844421092032,0.00015914492200504605,0.030171292602940342,3.488313889271963e-15
3,0.33,0.0069515625,98.83768955385494,-68.04151199999978,0.04255931396484375,0.004861264973133775,0.003184562993564543,0.1421349252425899,19.582402066711204,0.0008068075672772292,0.00019544895706308387,0.030529632309253724,5.038166300060472e-15
2,0.34,0.0055703125,111.35756796697751,-73.25803200000018,0.05002208251953125,0.006918114764243337,0.0035291730093651155,0.1508384362322293,22.418397684609218,0.0009896695585765365,0.0002692494950193137,0.03188428670952973,7.952833072752768e-15
35,0.35,0.001409375,127.3554060016013,-78.93228000000009,0.060761474609375,0.00981692099273202,0.003933092600054413,0.16265376723775848,26.226440297296875,0.001179665807579601,0.0003723882172722825,0.032581969855740155,1.0299380660171298e-14
8,0.36,0.0126734375,141.94298655129478,-85.0884479999999,0.07377318115234376,0.013731562729924889,0.004392815809939733,0.17204826571606013,29.71747262569351,0.0014027790915048706,0.0004822842305789767,0.03354726643957652,1.2745187594746224e-14
4,0.37,0.0030625,158.1405077759373,-91.60400799999994,0.0902041748046875,0.019728786052763434,0.0049196777895863745,0.1838674830578988,34.58337405587288,0.0016752705188780343,0.000675735358028608,0.034341158481470936,2.2147785475286865e-14
