,T,M,E,E2,X,J,B,M2,M4
0,0,0.9453125,-257.39999999999924,66254.7599999996,16,0.55,0.0,0.89361572265625,0.7985490597784519
1,10,0.9375,-250.7999999999992,62900.63999999959,16,0.55,0.0,0.87890625,0.7724761962890625
2,20,0.9765625,-268.39999999999935,72038.55999999965,16,0.55,0.0,0.95367431640625,0.9094947017729282
3,30,0.9453125,-255.19999999999916,65127.03999999957,16,0.55,0.0,0.89361572265625,0.7985490597784519
4,40,0.953125,-259.5999999999993,67392.15999999963,16,0.55,0.0,0.908447265625,0.8252764344215393
5,50,0.984375,-272.79999999999944,74419.83999999969,16,0.55,0.0,0.968994140625,0.9389496445655823
6,60,0.9609375,-261.7999999999993,68539.23999999961,16,0.55,0.0,0.92340087890625,0.852669183164835
7,70,0.9609375,-266.1999999999994,70862.4399999997,16,0.55,0.0,0.92340087890625,0.852669183164835
8,80,0.9296875,-244.19999999999936,59633.63999999969,16,0.55,0.0,0.86431884765625,0.7470470704138279
9,90,0.90625,-239.7999999999993,57504.039999999666,16,0.55,0.0,0.8212890625,0.6745157241821289
10,100,0.9453125,-255.19999999999914,65127.03999999956,16,0.55,0.0,0.89361572265625,0.7985490597784519
11,110,0.90625,-237.59999999999937,56453.759999999704,16,0.55,0.0,0.8212890625,0.6745157241821289
12,120,0.9765625,-270.5999999999995,73224.35999999974,16,0.55,0.0,0.95367431640625,0.9094947017729282
13,130,0.9765625,-268.3999999999993,72038.55999999962,16,0.55,0.0,0.95367431640625,0.9094947017729282
14,140,0.984375,-272.7999999999995,74419.83999999972,16,0.55,0.0,0.968994140625,0.9389496445655823
15,150,0.9765625,-268.39999999999947,72038.5599999997,16,0.55,0.0,0.95367431640625,0.9094947017729282
16,160,0.96875,-263.9999999999994,69695.99999999967,16,0.55,0.0,0.9384765625,0.8807382583618164
17,170,0.9140625,-257.39999999999924,66254.7599999996,16,0.55,0.0,0.83551025390625,0.6980773843824863
18,180,0.90625,-255.1999999999993,65127.039999999644,16,0.55,0.0,0.8212890625,0.6745157241821289
19,190,0.9453125,-250.79999999999927,62900.639999999636,16,0.55,0.0,0.89361572265625,0.7985490597784519
20,200,0.96875,-266.1999999999993,70862.43999999962,16,0.55,0.0,0.9384765625,0.8807382583618164
21,210,0.9765625,-270.5999999999995,73224.35999999974,16,0.55,0.0,0.95367431640625,0.9094947017729282
22,220,0.921875,-250.79999999999927,62900.639999999636,16,0.55,0.0,0.849853515625,0.7222509980201721
23,230,0.953125,-259.5999999999992,67392.1599999996,16,0.55,0.0,0.908447265625,0.8252764344215393
24,240,0.9375,-252.9999999999993,64008.99999999964,16,0.55,0.0,0.87890625,0.7724761962890625
25,250,0.96875,-266.1999999999993,70862.43999999962,16,0.55,0.0,0.9384765625,0.8807382583618164
26,260,0.953125,-261.79999999999933,68539.23999999966,16,0.55,0.0,0.908447265625,0.8252764344215393
27,270,0.953125,-259.5999999999992,67392.1599999996,16,0.55,0.0,0.908447265625,0.8252764344215393
28,280,0.96875,-268.3999999999994,72038.55999999968,16,0.55,0.0,0.9384765625,0.8807382583618164
29,290,0.8671875,-239.7999999999992,57504.03999999961,16,0.55,0.0,0.75201416015625,0.56552529707551
30,300,0.953125,-257.39999999999924,66254.7599999996,16,0.55,0.0,0.908447265625,0.8252764344215393
31,310,0.96875,-263.9999999999993,69695.99999999964,16,0.55,0.0,0.9384765625,0.8807382583618164
32,320,0.9453125,-255.19999999999933,65127.03999999966,16,0.55,0.0,0.89361572265625,0.7985490597784519
33,330,0.953125,-257.3999999999992,66254.75999999957,16,0.55,0.0,0.908447265625,0.8252764344215393
34,340,0.9765625,-270.59999999999945,73224.35999999971,16,0.55,0.0,0.95367431640625,0.9094947017729282
35,350,0.9921875,-277.19999999999953,76839.83999999973,16,0.55,0.0,0.98443603515625,0.9691143073141575
36,360,0.9375,-257.3999999999993,66254.75999999963,16,0.55,0.0,0.87890625,0.7724761962890625
37,370,0.9296875,-246.39999999999935,60712.95999999968,16,0.55,0.0,0.86431884765625,0.7470470704138279
38,380,0.953125,-257.39999999999924,66254.7599999996,16,0.55,0.0,0.908447265625,0.8252764344215393
39,390,0.9453125,-255.19999999999922,65127.0399999996,16,0.55,0.0,0.89361572265625,0.7985490597784519
40,400,0.953125,-259.5999999999992,67392.1599999996,16,0.55,0.0,0.908447265625,0.8252764344215393
41,410,0.9765625,-270.59999999999945,73224.35999999971,16,0.55,0.0,0.95367431640625,0.9094947017729282
42,420,0.96875,-263.99999999999926,69695.9999999996,16,0.55,0.0,0.9384765625,0.8807382583618164
43,430,0.9609375,-259.5999999999994,67392.15999999968,16,0.55,0.0,0.92340087890625,0.852669183164835
44,440,0.9609375,-261.79999999999933,68539.23999999966,16,0.55,0.0,0.92340087890625,0.852669183164835
45,450,0.953125,-257.3999999999992,66254.75999999957,16,0.55,0.0,0.908447265625,0.8252764344215393
46,460,0.9609375,-259.59999999999934,67392.15999999965,16,0.55,0.0,0.92340087890625,0.852669183164835
47,470,0.9765625,-268.3999999999994,72038.55999999968,16,0.55,0.0,0.95367431640625,0.9094947017729282
48,480,0.9609375,-259.5999999999993,67392.15999999963,16,0.55,0.0,0.92340087890625,0.852669183164835
49,490,0.9765625,-272.79999999999944,74419.83999999969,16,0.55,0.0,0.95367431640625,0.9094947017729282
50,500,0.984375,-272.79999999999944,74419.83999999969,16,0.55,0.0,0.968994140625,0.9389496445655823
51,510,0.921875,-252.9999999999992,64008.9999999996,16,0.55,0.0,0.849853515625,0.7222509980201721
52,520,0.953125,-257.3999999999993,66254.75999999963,16,0.55,0.0,0.908447265625,0.8252764344215393
53,530,0.9296875,-250.79999999999916,62900.63999999958,16,0.55,0.0,0.86431884765625,0.7470470704138279
54,540,0.9609375,-263.9999999999993,69695.99999999964,16,0.55,0.0,0.92340087890625,0.852669183164835
55,550,0.8984375,-246.3999999999993,60712.95999999965,16,0.55,0.0,0.80718994140625,0.6515556015074253
56,560,0.90625,-241.99999999999932,58563.99999999967,16,0.55,0.0,0.8212890625,0.6745157241821289
57,570,0.9609375,-263.9999999999993,69695.99999999964,16,0.55,0.0,0.92340087890625,0.852669183164835
58,580,0.9140625,-250.79999999999927,62900.639999999636,16,0.55,0.0,0.83551025390625,0.6980773843824863
59,590,0.96875,-263.99999999999943,69695.9999999997,16,0.55,0.0,0.9384765625,0.8807382583618164
60,600,0.9296875,-248.59999999999926,61801.95999999963,16,0.55,0.0,0.86431884765625,0.7470470704138279
61,610,0.9453125,-252.99999999999923,64008.999999999614,16,0.55,0.0,0.89361572265625,0.7985490597784519
62,620,0.96875,-266.19999999999936,70862.43999999967,16,0.55,0.0,0.9384765625,0.8807382583618164
63,630,0.9296875,-246.3999999999993,60712.95999999965,16,0.55,0.0,0.86431884765625,0.7470470704138279
64,640,0.9609375,-261.7999999999992,68539.23999999958,16,0.55,0.0,0.92340087890625,0.852669183164835
65,650,0.96875,-266.19999999999936,70862.43999999967,16,0.55,0.0,0.9384765625,0.8807382583618164
66,660,0.96875,-266.1999999999994,70862.4399999997,16,0.55,0.0,0.9384765625,0.8807382583618164
67,670,0.90625,-241.99999999999923,58563.99999999963,16,0.55,0.0,0.8212890625,0.6745157241821289
68,680,0.9921875,-277.1999999999996,76839.83999999978,16,0.55,0.0,0.98443603515625,0.9691143073141575
69,690,0.9375,-252.99999999999918,64008.999999999585,16,0.55,0.0,0.87890625,0.7724761962890625
70,700,0.9765625,-268.3999999999994,72038.55999999968,16,0.55,0.0,0.95367431640625,0.9094947017729282
71,710,0.9609375,-259.59999999999934,67392.15999999965,16,0.55,0.0,0.92340087890625,0.852669183164835
72,720,0.9453125,-255.19999999999925,65127.039999999615,16,0.55,0.0,0.89361572265625,0.7985490597784519
73,730,0.9296875,-259.5999999999992,67392.1599999996,16,0.55,0.0,0.86431884765625,0.7470470704138279
74,740,0.9765625,-270.5999999999994,73224.35999999968,16,0.55,0.0,0.95367431640625,0.9094947017729282
75,750,0.8984375,-241.9999999999993,58563.99999999966,16,0.55,0.0,0.80718994140625,0.6515556015074253
76,760,0.984375,-274.99999999999943,75624.9999999997,16,0.55,0.0,0.968994140625,0.9389496445655823
77,770,0.9609375,-261.7999999999993,68539.23999999961,16,0.55,0.0,0.92340087890625,0.852669183164835
78,780,0.96875,-263.9999999999993,69695.99999999964,16,0.55,0.0,0.9384765625,0.8807382583618164
79,790,0.984375,-272.79999999999944,74419.83999999969,16,0.55,0.0,0.968994140625,0.9389496445655823
80,800,0.953125,-259.5999999999993,67392.15999999963,16,0.55,0.0,0.908447265625,0.8252764344215393
81,810,0.9765625,-268.39999999999935,72038.55999999965,16,0.55,0.0,0.95367431640625,0.9094947017729282
82,820,0.9296875,-250.79999999999922,62900.63999999961,16,0.55,0.0,0.86431884765625,0.7470470704138279
83,830,0.921875,-248.59999999999923,61801.95999999961,16,0.55,0.0,0.849853515625,0.7222509980201721
84,840,0.9765625,-268.39999999999935,72038.55999999965,16,0.55,0.0,0.95367431640625,0.9094947017729282
85,850,0.9765625,-270.59999999999945,73224.35999999971,16,0.55,0.0,0.95367431640625,0.9094947017729282
86,860,0.953125,-257.39999999999935,66254.75999999966,16,0.55,0.0,0.908447265625,0.8252764344215393
87,870,0.9375,-248.59999999999923,61801.95999999961,16,0.55,0.0,0.87890625,0.7724761962890625
88,880,0.921875,-261.79999999999916,68539.23999999955,16,0.55,0.0,0.849853515625,0.7222509980201721
89,890,0.984375,-272.79999999999944,74419.83999999969,16,0.55,0.0,0.968994140625,0.9389496445655823
90,900,0.9609375,-261.79999999999933,68539.23999999966,16,0.55,0.0,0.92340087890625,0.852669183164835
91,910,0.921875,-248.5999999999993,61801.95999999966,16,0.55,0.0,0.849853515625,0.7222509980201721
92,920,0.953125,-255.19999999999916,65127.03999999957,16,0.55,0.0,0.908447265625,0.8252764344215393
93,930,0.96875,-263.9999999999994,69695.99999999967,16,0.55,0.0,0.9384765625,0.8807382583618164
94,940,0.96875,-266.19999999999936,70862.43999999967,16,0.55,0.0,0.9384765625,0.8807382583618164
95,950,0.984375,-272.7999999999995,74419.83999999972,16,0.55,0.0,0.968994140625,0.9389496445655823
96,960,0.9765625,-268.39999999999935,72038.55999999965,16,0.55,0.0,0.95367431640625,0.9094947017729282
97,970,0.921875,-244.19999999999928,59633.63999999965,16,0.55,0.0,0.849853515625,0.7222509980201721
98,980,0.9140625,-246.39999999999912,60712.95999999957,16,0.55,0.0,0.83551025390625,0.6980773843824863
99,990,0.7890625,-237.59999999999926,56453.759999999646,16,0.55,0.0,0.62261962890625,0.38765520229935646
100,1000,0.6796875,-230.99999999999932,53360.99999999969,16,0.55,0.0,0.46197509765625,0.21342099085450172
101,1010,0.6484375,-217.79999999999947,47436.83999999977,16,0.55,0.0,0.42047119140625,0.17679602280259132
102,1020,0.9453125,-252.9999999999992,64008.9999999996,16,0.55,0.0,0.89361572265625,0.7985490597784519
103,1030,0.953125,-255.19999999999914,65127.03999999956,16,0.55,0.0,0.908447265625,0.8252764344215393
104,1040,0.953125,-261.79999999999933,68539.23999999966,16,0.55,0.0,0.908447265625,0.8252764344215393
105,1050,0.90625,-237.59999999999934,56453.75999999969,16,0.55,0.0,0.8212890625,0.6745157241821289
106,1060,0.9765625,-268.39999999999947,72038.5599999997,16,0.55,0.0,0.95367431640625,0.9094947017729282
107,1070,0.9453125,-259.59999999999934,67392.15999999965,16,0.55,0.0,0.89361572265625,0.7985490597784519
108,1080,0.9609375,-261.7999999999993,68539.23999999961,16,0.55,0.0,0.92340087890625,0.852669183164835
109,1090,0.9296875,-255.19999999999916,65127.03999999957,16,0.55,0.0,0.86431884765625,0.7470470704138279
110,1100,0.984375,-272.7999999999995,74419.83999999972,16,0.55,0.0,0.968994140625,0.9389496445655823
111,1110,0.9609375,-261.79999999999933,68539.23999999966,16,0.55,0.0,0.92340087890625,0.852669183164835
112,1120,0.9765625,-270.59999999999945,73224.35999999971,16,0.55,0.0,0.95367431640625,0.9094947017729282
113,1130,0.953125,-257.3999999999991,66254.75999999954,16,0.55,0.0,0.908447265625,0.8252764344215393
114,1140,0.9453125,-259.5999999999993,67392.15999999963,16,0.55,0.0,0.89361572265625,0.7985490597784519
115,1150,0.96875,-272.7999999999994,74419.83999999966,16,0.55,0.0,0.9384765625,0.8807382583618164
116,1160,0.984375,-272.79999999999944,74419.83999999969,16,0.55,0.0,0.968994140625,0.9389496445655823
117,1170,0.96875,-266.1999999999993,70862.43999999962,16,0.55,0.0,0.9384765625,0.8807382583618164
118,1180,0.953125,-257.39999999999924,66254.7599999996,16,0.55,0.0,0.908447265625,0.8252764344215393
119,1190,0.9765625,-268.3999999999994,72038.55999999968,16,0.55,0.0,0.95367431640625,0.9094947017729282
120,1200,0.921875,-252.99999999999923,64008.999999999614,16,0.55,0.0,0.849853515625,0.7222509980201721
121,1210,0.9765625,-268.3999999999994,72038.55999999968,16,0.55,0.0,0.95367431640625,0.9094947017729282
122,1220,0.9453125,-252.9999999999992,64008.9999999996,16,0.55,0.0,0.89361572265625,0.7985490597784519
123,1230,0.9453125,-259.5999999999992,67392.1599999996,16,0.55,0.0,0.89361572265625,0.7985490597784519
124,1240,0.9609375,-263.99999999999926,69695.9999999996,16,0.55,0.0,0.92340087890625,0.852669183164835
125,1250,0.875,-235.39999999999935,55413.1599999997,16,0.55,0.0,0.765625,0.586181640625
126,1260,0.890625,-244.19999999999928,59633.63999999965,16,0.55,0.0,0.793212890625,0.6291866898536682
127,1270,0.9609375,-263.9999999999994,69695.99999999967,16,0.55,0.0,0.92340087890625,0.852669183164835
128,1280,0.9375,-248.59999999999928,61801.95999999964,16,0.55,0.0,0.87890625,0.7724761962890625
129,1290,0.9609375,-263.9999999999993,69695.99999999964,16,0.55,0.0,0.92340087890625,0.852669183164835
130,1300,0.9609375,-259.5999999999993,67392.15999999963,16,0.55,0.0,0.92340087890625,0.852669183164835
131,1310,0.96875,-263.9999999999994,69695.99999999967,16,0.55,0.0,0.9384765625,0.8807382583618164
132,1320,0.96875,-263.99999999999926,69695.9999999996,16,0.55,0.0,0.9384765625,0.8807382583618164
133,1330,0.9296875,-257.39999999999935,66254.75999999966,16,0.55,0.0,0.86431884765625,0.7470470704138279
134,1340,0.953125,-257.3999999999992,66254.75999999957,16,0.55,0.0,0.908447265625,0.8252764344215393
135,1350,0.9765625,-268.39999999999947,72038.5599999997,16,0.55,0.0,0.95367431640625,0.9094947017729282
136,1360,0.9609375,-261.79999999999933,68539.23999999966,16,0.55,0.0,0.92340087890625,0.852669183164835
137,1370,0.90625,-244.19999999999925,59633.639999999636,16,0.55,0.0,0.8212890625,0.6745157241821289
138,1380,0.984375,-272.79999999999944,74419.83999999969,16,0.55,0.0,0.968994140625,0.9389496445655823
139,1390,0.9375,-252.99999999999918,64008.999999999585,16,0.55,0.0,0.87890625,0.7724761962890625
140,1400,0.921875,-255.19999999999922,65127.0399999996,16,0.55,0.0,0.849853515625,0.7222509980201721
141,1410,0.9296875,-248.59999999999917,61801.959999999584,16,0.55,0.0,0.86431884765625,0.7470470704138279
142,1420,0.9609375,-263.99999999999926,69695.9999999996,16,0.55,0.0,0.92340087890625,0.852669183164835
143,1430,0.9609375,-263.99999999999926,69695.9999999996,16,0.55,0.0,0.92340087890625,0.852669183164835
144,1440,0.9765625,-270.59999999999934,73224.35999999964,16,0.55,0.0,0.95367431640625,0.9094947017729282
145,1450,0.9453125,-252.99999999999912,64008.999999999556,16,0.55,0.0,0.89361572265625,0.7985490597784519
146,1460,0.9921875,-277.1999999999996,76839.83999999978,16,0.55,0.0,0.98443603515625,0.9691143073141575
147,1470,0.8515625,-226.59999999999948,51347.559999999765,16,0.55,0.0,0.72515869140625,0.5258551277220249
148,1480,0.9765625,-268.3999999999994,72038.55999999968,16,0.55,0.0,0.95367431640625,0.9094947017729282
149,1490,0.984375,-272.7999999999995,74419.83999999972,16,0.55,0.0,0.968994140625,0.9389496445655823
150,1500,0.9609375,-259.59999999999917,67392.15999999957,16,0.55,0.0,0.92340087890625,0.852669183164835
151,1510,0.90625,-244.19999999999922,59633.63999999962,16,0.55,0.0,0.8212890625,0.6745157241821289
152,1520,0.9921875,-277.19999999999953,76839.83999999973,16,0.55,0.0,0.98443603515625,0.9691143073141575
153,1530,0.90625,-255.19999999999914,65127.03999999956,16,0.55,0.0,0.8212890625,0.6745157241821289
154,1540,0.96875,-263.99999999999943,69695.9999999997,16,0.55,0.0,0.9384765625,0.8807382583618164
155,1550,0.9609375,-266.1999999999994,70862.4399999997,16,0.55,0.0,0.92340087890625,0.852669183164835
156,1560,0.984375,-274.9999999999995,75624.99999999972,16,0.55,0.0,0.968994140625,0.9389496445655823
157,1570,0.9609375,-261.79999999999933,68539.23999999966,16,0.55,0.0,0.92340087890625,0.852669183164835
158,1580,0.90625,-237.59999999999945,56453.75999999974,16,0.55,0.0,0.8212890625,0.6745157241821289
159,1590,0.953125,-259.59999999999917,67392.15999999957,16,0.55,0.0,0.908447265625,0.8252764344215393
160,1600,0.984375,-272.79999999999944,74419.83999999969,16,0.55,0.0,0.968994140625,0.9389496445655823
161,1610,0.9140625,-241.9999999999994,58563.99999999971,16,0.55,0.0,0.83551025390625,0.6980773843824863
162,1620,0.9453125,-255.19999999999922,65127.0399999996,16,0.55,0.0,0.89361572265625,0.7985490597784519
163,1630,0.9609375,-261.79999999999933,68539.23999999966,16,0.55,0.0,0.92340087890625,0.852669183164835
164,1640,0.953125,-257.3999999999992,66254.75999999957,16,0.55,0.0,0.908447265625,0.8252764344215393
165,1650,0.9609375,-261.7999999999993,68539.23999999961,16,0.55,0.0,0.92340087890625,0.852669183164835
166,1660,0.953125,-259.5999999999993,67392.15999999963,16,0.55,0.0,0.908447265625,0.8252764344215393
167,1670,0.9609375,-259.5999999999993,67392.15999999963,16,0.55,0.0,0.92340087890625,0.852669183164835
168,1680,0.9609375,-261.79999999999933,68539.23999999966,16,0.55,0.0,0.92340087890625,0.852669183164835
169,1690,0.9609375,-261.7999999999993,68539.23999999961,16,0.55,0.0,0.92340087890625,0.852669183164835
170,1700,0.953125,-259.5999999999993,67392.15999999963,16,0.55,0.0,0.908447265625,0.8252764344215393
171,1710,0.96875,-268.39999999999935,72038.55999999965,16,0.55,0.0,0.9384765625,0.8807382583618164
172,1720,0.984375,-272.79999999999944,74419.83999999969,16,0.55,0.0,0.968994140625,0.9389496445655823
173,1730,0.9453125,-259.5999999999993,67392.15999999963,16,0.55,0.0,0.89361572265625,0.7985490597784519
174,1740,0.9140625,-248.5999999999993,61801.95999999966,16,0.55,0.0,0.83551025390625,0.6980773843824863
175,1750,0.9765625,-268.3999999999994,72038.55999999968,16,0.55,0.0,0.95367431640625,0.9094947017729282
176,1760,0.9765625,-270.59999999999945,73224.35999999971,16,0.55,0.0,0.95367431640625,0.9094947017729282
177,1770,0.9921875,-277.19999999999953,76839.83999999973,16,0.55,0.0,0.98443603515625,0.9691143073141575
178,1780,0.9765625,-268.39999999999935,72038.55999999965,16,0.55,0.0,0.95367431640625,0.9094947017729282
179,1790,0.96875,-263.99999999999926,69695.9999999996,16,0.55,0.0,0.9384765625,0.8807382583618164
180,1800,0.9453125,-257.3999999999992,66254.75999999957,16,0.55,0.0,0.89361572265625,0.7985490597784519
181,1810,0.9609375,-261.7999999999994,68539.23999999969,16,0.55,0.0,0.92340087890625,0.852669183164835
182,1820,0.96875,-266.1999999999994,70862.4399999997,16,0.55,0.0,0.9384765625,0.8807382583618164
183,1830,0.953125,-257.3999999999992,66254.75999999957,16,0.55,0.0,0.908447265625,0.8252764344215393
184,1840,0.9140625,-244.19999999999928,59633.63999999965,16,0.55,0.0,0.83551025390625,0.6980773843824863
185,1850,0.9453125,-257.3999999999993,66254.75999999963,16,0.55,0.0,0.89361572265625,0.7985490597784519
